id,sample,hap,chrom,source,arm_mb,n_blocks,n_unspecified,unspecified_mb,syntax
NA12878_h1_chr22,NA12878,1,chr22,pedigree,12.857736,48,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12878_h2_chr22,NA12878,2,chr22,pedigree,7.343553,33,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12879_h1_chr13,NA12879,1,chr13,pedigree,5.890123,27,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12879_h2_chr13,NA12879,2,chr13,pedigree,8.396911,40,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12879_h1_chr14,NA12879,1,chr14,pedigree,11.208101,46,0,0.0,NONSAT-ACRO-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12879_h2_chr14,NA12879,2,chr14,pedigree,10.116146,39,1,0.053191,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-HSat1B-NONSAT-aSat
NA12879_h1_chr15,NA12879,1,chr15,pedigree,6.639682,21,0,0.0,rDNA-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12879_h2_chr15,NA12879,2,chr15,pedigree,14.994516,53,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT
NA12879_h1_chr21,NA12879,1,chr21,pedigree,8.5375,39,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12879_h2_chr21,NA12879,2,chr21,pedigree,8.568673,40,0,0.0,NONSAT-ACRO-NONSAT-bSat-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12879_h1_chr22,NA12879,1,chr22,pedigree,11.425597,42,0,0.0,ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12879_h2_chr22,NA12879,2,chr22,pedigree,11.634912,55,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12881_h1_chr13,NA12881,1,chr13,pedigree,7.556208,31,0,0.0,HSat3-HSat1A-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-SST1-NONSAT-HSat1A
NA12881_h2_chr13,NA12881,2,chr13,pedigree,4.913914,21,0,0.0,NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A-aSat
NA12881_h1_chr14,NA12881,1,chr14,pedigree,9.675621,36,1,0.053191,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-NONSAT-HSat1B-NONSAT-aSat
NA12881_h2_chr14,NA12881,2,chr14,pedigree,7.394743,26,0,0.0,NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12881_h1_chr15,NA12881,1,chr15,pedigree,3.182594,11,0,0.0,HSat3-NONSAT-aSat-NONSAT-aSat
NA12881_h2_chr15,NA12881,2,chr15,pedigree,4.354575,11,0,0.0,HSat3-NONSAT-aSat
NA12881_h1_chr21,NA12881,1,chr21,pedigree,8.517988,41,0,0.0,NONSAT-ACRO-NONSAT-bSat-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12881_h2_chr21,NA12881,2,chr21,pedigree,4.665261,20,0,0.0,HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12881_h1_chr22,NA12881,1,chr22,pedigree,10.633703,48,0,0.0,ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-DJ-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12881_h2_chr22,NA12881,2,chr22,pedigree,6.141785,16,0,0.0,NONSAT-HSat3-NONSAT-aSat
NA12882_h1_chr13,NA12882,1,chr13,pedigree,8.596684,37,0,0.0,DJ-NONSAT-ACRO-NONSAT-HSat1A-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12882_h2_chr13,NA12882,2,chr13,pedigree,5.823769,27,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12882_h1_chr14,NA12882,1,chr14,pedigree,8.780745,45,1,0.055176,NONSAT-ACRO-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12882_h2_chr14,NA12882,2,chr14,pedigree,14.521957,61,1,0.068936,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12882_h1_chr15,NA12882,1,chr15,pedigree,9.483655,28,0,0.0,NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat
NA12882_h2_chr15,NA12882,2,chr15,pedigree,10.304418,41,1,0.056855,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12882_h1_chr21,NA12882,1,chr21,pedigree,2.876771,8,0,0.0,NONSAT-SST1-NONSAT
NA12882_h2_chr21,NA12882,2,chr21,pedigree,5.944736,22,0,0.0,rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT
NA12882_h1_chr22,NA12882,1,chr22,pedigree,11.802558,44,0,0.0,DJ-ACRO-NONSAT-HSat3-HSat1A-HSat3-bSat-NONSAT-ACRO-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12882_h2_chr22,NA12882,2,chr22,pedigree,11.370322,54,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12883_h1_chr13,NA12883,1,chr13,pedigree,5.579804,24,0,0.0,NONSAT-HSat3-NONSAT-HSat3-HSat1B-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12883_h2_chr13,NA12883,2,chr13,pedigree,7.544613,33,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-DJ-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12883_h1_chr14,NA12883,1,chr14,pedigree,9.97472,40,1,0.053191,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-HSat1B-NONSAT-aSat
NA12883_h2_chr14,NA12883,2,chr14,pedigree,9.785107,36,0,0.0,NONSAT-ACRO-NONSAT-HSat3-HSat1A-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12883_h2_chr15,NA12883,2,chr15,pedigree,5.641151,15,0,0.0,HSat3-NONSAT-aSat
NA12883_h1_chr21,NA12883,1,chr21,pedigree,2.398136,8,0,0.0,NONSAT-SST1-NONSAT-HSat1A
NA12883_h2_chr21,NA12883,2,chr21,pedigree,5.01053,22,0,0.0,NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12883_h1_chr22,NA12883,1,chr22,pedigree,10.78284,39,0,0.0,ACRO-NONSAT-bSat-HSat3-HSat1A-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12883_h2_chr22,NA12883,2,chr22,pedigree,6.487823,23,0,0.0,HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12884_h1_chr13,NA12884,1,chr13,pedigree,8.166265,36,0,0.0,HSat3-HSat1A-NONSAT-ACRO-NONSAT-DJ-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12884_h2_chr13,NA12884,2,chr13,pedigree,8.677093,40,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12884_h1_chr14,NA12884,1,chr14,pedigree,10.311014,40,1,0.053191,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-HSat1B-NONSAT-aSat
NA12884_h2_chr14,NA12884,2,chr14,pedigree,10.908395,42,0,0.0,NONSAT-ACRO-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12884_h1_chr15,NA12884,1,chr15,pedigree,11.582663,54,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat-NONSAT-aSat
NA12884_h2_chr15,NA12884,2,chr15,pedigree,8.811863,28,0,0.0,NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat
NA12884_h1_chr21,NA12884,1,chr21,pedigree,8.608078,40,0,0.0,NONSAT-ACRO-NONSAT-bSat-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12884_h2_chr21,NA12884,2,chr21,pedigree,8.128186,35,0,0.0,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12884_h1_chr22,NA12884,1,chr22,pedigree,7.07717,32,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12884_h2_chr22,NA12884,2,chr22,pedigree,11.648529,45,0,0.0,ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12885_h1_chr13,NA12885,1,chr13,pedigree,8.512301,39,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12885_h2_chr13,NA12885,2,chr13,pedigree,8.612037,39,0,0.0,HSat3-HSat1A-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12885_h1_chr14,NA12885,1,chr14,pedigree,9.011343,45,1,0.055176,NONSAT-ACRO-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12885_h2_chr14,NA12885,2,chr14,pedigree,10.155918,39,1,0.053191,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-HSat1B-NONSAT-aSat
NA12885_h1_chr15,NA12885,1,chr15,pedigree,13.2053,47,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat
NA12885_h2_chr15,NA12885,2,chr15,pedigree,10.255806,41,1,0.056855,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12885_h1_chr21,NA12885,1,chr21,pedigree,8.629797,40,0,0.0,NONSAT-ACRO-NONSAT-bSat-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12885_h2_chr21,NA12885,2,chr21,pedigree,7.859556,32,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT
NA12885_h1_chr22,NA12885,1,chr22,pedigree,10.721836,50,0,0.0,ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12885_h2_chr22,NA12885,2,chr22,pedigree,12.839606,49,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12886_h1_chr13,NA12886,1,chr13,pedigree,6.14073,26,0,0.0,NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12886_h2_chr13,NA12886,2,chr13,pedigree,8.575615,40,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12886_h1_chr14,NA12886,1,chr14,pedigree,10.93885,44,0,0.0,NONSAT-ACRO-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12886_h2_chr14,NA12886,2,chr14,pedigree,9.776834,39,0,0.0,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12886_h1_chr15,NA12886,1,chr15,pedigree,9.458233,29,0,0.0,rDNA-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat
NA12886_h2_chr15,NA12886,2,chr15,pedigree,10.19614,40,1,0.056855,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12886_h1_chr21,NA12886,1,chr21,pedigree,2.458111,8,0,0.0,NONSAT-SST1-NONSAT-HSat1A
NA12886_h2_chr21,NA12886,2,chr21,pedigree,8.450803,35,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT
NA12886_h1_chr22,NA12886,1,chr22,pedigree,11.350837,50,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12886_h2_chr22,NA12886,2,chr22,pedigree,11.521723,44,0,0.0,ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12887_h1_chr13,NA12887,1,chr13,pedigree,5.979452,27,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12887_h2_chr13,NA12887,2,chr13,pedigree,4.094251,16,0,0.0,HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12887_h1_chr14,NA12887,1,chr14,pedigree,10.058394,39,1,0.053191,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-HSat1B-NONSAT-aSat
NA12887_h2_chr14,NA12887,2,chr14,pedigree,7.578683,34,0,0.0,HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12887_h1_chr15,NA12887,1,chr15,pedigree,9.626482,41,1,0.056855,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12887_h2_chr15,NA12887,2,chr15,pedigree,11.838737,38,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT
NA12887_h1_chr21,NA12887,1,chr21,pedigree,4.504258,15,0,0.0,rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT
NA12887_h2_chr21,NA12887,2,chr21,pedigree,5.40101,22,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat1A
NA12887_h1_chr22,NA12887,1,chr22,pedigree,8.746668,31,0,0.0,rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12887_h2_chr22,NA12887,2,chr22,pedigree,8.710366,31,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
K200080_h1_chr13,K200080,1,chr13,pedigree,5.309353,22,1,0.053983,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-UNK-NONSAT-HSat1A
K200080_h2_chr13,K200080,2,chr13,pedigree,4.960495,19,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat1A
K200080_h1_chr14,K200080,1,chr14,pedigree,7.949828,25,0,0.0,NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat
K200080_h2_chr14,K200080,2,chr14,pedigree,6.424207,23,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-aSat
K200080_h1_chr15,K200080,1,chr15,pedigree,10.01137,32,0,0.0,HSat3-bSat-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat
K200080_h2_chr15,K200080,2,chr15,pedigree,11.786114,35,0,0.0,NONSAT-HSat1B-NONSAT-HSat3-NONSAT
K200080_h1_chr22,K200080,1,chr22,pedigree,9.675334,38,0,0.0,rDNA-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
K200080_h2_chr22,K200080,2,chr22,pedigree,9.553063,46,0,0.0,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
K200081_h1_chr13,K200081,1,chr13,pedigree,3.463701,12,0,0.0,HSat3-NONSAT-SST1-NONSAT-HSat1A
K200081_h2_chr13,K200081,2,chr13,pedigree,5.149957,21,1,0.053983,NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-SST1-NONSAT-UNK-NONSAT-HSat1A
K200081_h1_chr14,K200081,1,chr14,pedigree,9.192384,36,0,0.0,HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
K200081_h2_chr14,K200081,2,chr14,pedigree,6.414685,22,0,0.0,rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-aSat
K200081_h1_chr15,K200081,1,chr15,pedigree,8.805869,28,0,0.0,NONSAT-HSat1B-NONSAT-HSat3-NONSAT
K200081_h2_chr15,K200081,2,chr15,pedigree,7.582958,29,1,0.056855,HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
