arm,chrom,seg,truth,pred,post,bp
NA12881_h1_chr13,chr13,distal,DJ,,,306097
NA12881_h1_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,97731
NA12881_h1_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,107695
NA12881_h1_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,103016
NA12881_h1_chr21,chr21,distal,DJ,,,306288
NA12881_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,82193
NA12882_h2_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,104857
NA12882_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,148280
NA12882_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,136816
NA12882_h1_chr14,chr14,distal,DJ,,,305012
NA12882_h2_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,172037
NA12882_h2_chr14,chr14,distal,DJ,,,300942
NA12882_h2_chr15,chr15,distal,ACRO,ACRO,0.7661870503597122,86792
NA12882_h2_chr15,chr15,distal,DJ,,,303866
NA12882_h2_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,69500
NA12882_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,173699
NA12882_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,129972
NA12882_h2_chr22,chr22,distal,DJ,,,307787
NA12882_h2_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
NA12883_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
NA12883_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175994
NA12883_h1_chr14,chr14,distal,DJ,,,272215
NA12884_h2_chr13,chr13,distal,ACRO,ACRO,0.841880341880342,100920
NA12884_h2_chr13,chr13,distal,ACRO,ACRO,0.7661870503597122,132858
NA12884_h2_chr13,chr13,distal,DJ,,,307844
NA12884_h2_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,62474
NA12884_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
NA12884_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175990
NA12884_h1_chr14,chr14,distal,DJ,,,272215
NA12884_h2_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,108445
NA12884_h2_chr14,chr14,distal,ACRO,,,177774
NA12884_h1_chr15,chr15,distal,ACRO,ACRO,0.841880341880342,93842
NA12884_h1_chr15,chr15,distal,DJ,,,305690
NA12884_h1_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,107695
NA12884_h1_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,103016
NA12884_h1_chr21,chr21,distal,DJ,,,306290
NA12884_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,82193
NA12884_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
NA12884_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,214555
NA12884_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,146014
NA12884_h2_chr22,chr22,distal,DJ,,,288979
NA12885_h1_chr13,chr13,distal,ACRO,ACRO,0.841880341880342,100920
NA12885_h1_chr13,chr13,distal,ACRO,ACRO,0.7661870503597122,132858
NA12885_h1_chr13,chr13,distal,DJ,,,307850
NA12885_h1_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,62474
NA12885_h2_chr13,chr13,distal,ACRO,ACRO,0.7661870503597122,120330
NA12885_h2_chr13,chr13,distal,DJ,,,306102
NA12885_h2_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,97733
NA12885_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,148280
NA12885_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,136816
NA12885_h1_chr14,chr14,distal,DJ,,,305013
NA12885_h2_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
NA12885_h2_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175994
NA12885_h2_chr14,chr14,distal,DJ,,,272215
NA12885_h1_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,107695
NA12885_h1_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,103016
NA12885_h1_chr21,chr21,distal,DJ,,,306287
NA12885_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,82193
NA12885_h2_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,258761
NA12885_h2_chr21,chr21,distal,DJ,,,305099
NA12885_h2_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,93469
NA12885_h1_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,170466
NA12885_h1_chr22,chr22,distal,DJ,,,308022
NA12885_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,101339
NA12885_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,102426
NA12885_h2_chr22,chr22,distal,DJ,,,306508
NA12886_h2_chr13,chr13,distal,ACRO,ACRO,0.841880341880342,100920
NA12886_h2_chr13,chr13,distal,ACRO,ACRO,0.7661870503597122,132858
NA12886_h2_chr13,chr13,distal,DJ,,,307844
NA12886_h2_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,62474
NA12886_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,108449
NA12886_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,177774
NA12886_h1_chr14,chr14,distal,DJ,,,306461
NA12886_h2_chr14,chr14,distal,DJ,,,306178
NA12886_h2_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,258761
NA12886_h2_chr21,chr21,distal,DJ,,,305100
NA12886_h2_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,93469
NA12886_h1_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,173699
NA12886_h1_chr22,chr22,distal,ACRO,,,129972
NA12886_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
NA12886_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,214555
NA12886_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,146014
NA12886_h2_chr22,chr22,distal,DJ,,,288977
NA12887_h1_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,99240
NA12887_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
NA12887_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175994
NA12887_h1_chr14,chr14,distal,DJ,,,272214
NA12887_h1_chr15,chr15,distal,ACRO,ACRO,0.7661870503597122,86792
NA12887_h1_chr15,chr15,distal,DJ,,,303860
K200080_h1_chr13,chr13,proximal,SST1,HSat3,0.48181818181818176,93529
K200080_h1_chr15,chr15,distal,ACRO,ACRO,0.7661870503597122,87114
K200080_h1_chr15,chr15,distal,DJ,,,306207
K200080_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107655
K200080_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,155284
K200080_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,61351
K200080_h2_chr22,chr22,distal,DJ,,,307895
K200080_h2_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,69775
K200081_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,177770
K200081_h1_chr14,chr14,distal,DJ,,,306459
K200081_h2_chr15,chr15,distal,ACRO,ACRO,0.7661870503597122,86792
K200081_h2_chr15,chr15,distal,DJ,,,303870
K200081_h1_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,173699
K200081_h1_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,129972
K200081_h1_chr22,chr22,distal,DJ,,,307782
K200081_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
K200081_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,61351
K200081_h2_chr22,chr22,distal,DJ,,,307891
K200081_h2_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,69775
K200082_h1_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,153689
K200082_h1_chr21,chr21,distal,DJ,,,307691
K200082_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,86424
K200082_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107655
K200084_h2_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
K200084_h2_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175994
K200084_h2_chr14,chr14,distal,DJ,,,272212
K200084_h1_chr15,chr15,distal,ACRO,ACRO,0.7661870503597122,87114
K200084_h1_chr15,chr15,distal,DJ,,,306204
K200084_h1_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,173699
K200084_h1_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,129972
K200084_h1_chr22,chr22,distal,DJ,,,307795
K200084_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
K200084_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,94959
K200084_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,61351
K200084_h2_chr22,chr22,distal,DJ,,,307889
K200084_h2_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,69775
K200085_h1_chr13,chr13,distal,ACRO,ACRO,0.841880341880342,239639
K200085_h1_chr13,chr13,distal,DJ,,,307525
K200085_h2_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
K200085_h2_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175994
K200085_h2_chr14,chr14,distal,DJ,,,272217
K200085_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,86424
K200085_h1_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,129972
K200085_h1_chr22,chr22,distal,DJ,,,307787
K200085_h1_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
K200085_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,94959
K200085_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,61351
K200085_h2_chr22,chr22,distal,DJ,,,307893
K200085_h2_chr22,chr22,proximal,ACRO,HSat3,0.9213649851632049,69775
K200086_h2_chr22,chr22,proximal,DJ,HSat3,0.983754512635379,307888
K200086_h2_chr22,chr22,proximal,ACRO,HSat3,0.9213649851632049,61351
