tig,fam,start,end
K200081_1_haplotype1-0000023_chr13,SST1,1716602,1815843
K200081_1_haplotype1-0000023_chr13,HSat1A,3299717,3351895
K200081_1_haplotype1-0000027_chr14,HSat1A,102,290786
K200081_1_haplotype1-0000027_chr14,HSat3,316988,506787
K200081_1_haplotype1-0000027_chr14,ACRO,716379,894149
K200081_1_haplotype1-0000027_chr14,OTHERSAT,910500,978614
K200081_1_haplotype1-0000027_chr14,DJ,1012401,1344112
K200081_1_haplotype1-0000027_chr14,rDNA,1460331,1519550
K200081_1_haplotype1-0000027_chr14,HSat3,2545001,2711872
K200081_1_haplotype1-0000027_chr14,bSat,2916749,3140558
K200081_1_haplotype1-0000027_chr14,HSat3,3472863,3675206
K200081_1_haplotype1-0000027_chr14,bSat,3762773,3977792
K200081_1_haplotype1-0000027_chr14,bSat,4039327,4150605
K200081_1_haplotype1-0000027_chr14,aSat,9022155,9181400
K200081_2_haplotype2-0000049_chr15,HSat1A,263,75107
K200081_2_haplotype2-0000049_chr15,HSat3,102163,212079
K200081_2_haplotype2-0000049_chr15,ACRO,397534,484326
K200081_2_haplotype2-0000049_chr15,OTHERSAT,500675,557530
K200081_2_haplotype2-0000049_chr15,DJ,570615,899459
K200081_2_haplotype2-0000049_chr15,rDNA,899459,955449
K200081_2_haplotype2-0000049_chr15,rDNA,1055498,1131223
K200081_2_haplotype2-0000049_chr15,bSat,1407144,1520446
K200081_2_haplotype2-0000049_chr15,HSat1B,2121077,2428666
K200081_2_haplotype2-0000049_chr15,HSat3,2441252,2580473
K200081_2_haplotype2-0000049_chr15,HSat3,3112115,4421646
K200081_2_haplotype2-0000049_chr15,HSat3,4493948,4782738
K200081_2_haplotype2-0000049_chr15,aSat,7437257,7576079
K200081_2_haplotype2-0000060_chr22,HSat1A,201,227842
K200081_2_haplotype2-0000060_chr22,HSat3,254808,407387
K200081_2_haplotype2-0000060_chr22,ACRO,617626,678977
K200081_2_haplotype2-0000060_chr22,OTHERSAT,997853,1055267
K200081_2_haplotype2-0000060_chr22,DJ,1082294,1415469
K200081_2_haplotype2-0000060_chr22,rDNA,1415469,1558858
K200081_2_haplotype2-0000060_chr22,bSat,1926770,1994057
K200081_2_haplotype2-0000060_chr22,HSat3,2019057,2104073
K200081_2_haplotype2-0000060_chr22,HSat1B,2355501,2428497
K200081_2_haplotype2-0000060_chr22,HSat3,2429516,2638017
K200081_2_haplotype2-0000060_chr22,ACRO,2752413,2822188
K200081_2_haplotype2-0000060_chr22,bSat,3270486,3356941
K200081_2_haplotype2-0000060_chr22,HSat3,3761356,3846028
K200081_2_haplotype2-0000060_chr22,bSat,4180686,4283190
K200081_2_haplotype2-0000060_chr22,bSat,4355061,4456594
K200081_2_haplotype2-0000060_chr22,HSat3,5548133,5645294
K200081_2_haplotype2-0000060_chr22,aSat,7766471,8305794
K200081_2_haplotype2-0000065_chr13,bSat,407415,468477
K200081_2_haplotype2-0000065_chr13,HSat3,493669,587615
K200081_2_haplotype2-0000065_chr13,HSat1B,862529,966942
K200081_2_haplotype2-0000065_chr13,HSat3,971754,1159085
K200081_2_haplotype2-0000065_chr13,SST1,3148780,3240902
K200081_2_haplotype2-0000065_chr13,OTHERSAT,3753296,3807279
K200081_2_haplotype2-0000065_chr13,HSat1A,4920355,5023606
K200081_2_haplotype2-0000065_chr13,HSat1A,5032726,5149708
K200081_2_haplotype2-0000071_chr14,rDNA,0,172212
K200081_2_haplotype2-0000071_chr14,bSat,472421,534506
K200081_2_haplotype2-0000071_chr14,HSat3,549320,798969
K200081_2_haplotype2-0000071_chr14,HSat1B,1143587,1251271
K200081_2_haplotype2-0000071_chr14,HSat3,1256499,1519242
K200081_2_haplotype2-0000071_chr14,aSat,6144900,6408246
K200082_1_haplotype1-0000003_chr22,rDNA,34,85332
K200082_1_haplotype1-0000003_chr22,bSat,453742,520527
K200082_1_haplotype1-0000003_chr22,HSat1B,861156,978386
K200082_1_haplotype1-0000003_chr22,HSat3,979399,1184984
K200082_1_haplotype1-0000003_chr22,ACRO,1296600,1404255
K200082_1_haplotype1-0000003_chr22,bSat,1845773,2014241
K200082_1_haplotype1-0000003_chr22,HSat3,2344282,2428944
K200082_1_haplotype1-0000003_chr22,bSat,2763889,2866393
K200082_1_haplotype1-0000003_chr22,bSat,3045617,3106026
K200082_1_haplotype1-0000003_chr22,HSat3,4194627,4288663
K200082_1_haplotype1-0000003_chr22,aSat,6197068,7565309
K200082_1_haplotype1-0000010_chr14,HSat3,225,229561
K200082_1_haplotype1-0000010_chr14,HSat1A,230370,491147
K200082_1_haplotype1-0000010_chr14,HSat3,519096,622771
K200082_1_haplotype1-0000010_chr14,ACRO,832383,906340
K200082_1_haplotype1-0000010_chr14,DJ,1245663,1577385
K200082_1_haplotype1-0000010_chr14,bSat,2069226,2168394
K200082_1_haplotype1-0000010_chr14,HSat1B,2775496,2897528
K200082_1_haplotype1-0000010_chr14,HSat3,2902401,2957049
K200082_1_haplotype1-0000010_chr14,HSat3,3435826,4391497
K200082_1_haplotype1-0000010_chr14,aSat,8609543,9667163
K200082_1_haplotype1-0000020_chr21,HSat1A,42,254176
K200082_1_haplotype1-0000020_chr21,HSat3,280380,461797
K200082_1_haplotype1-0000020_chr21,ACRO,671392,825081
K200082_1_haplotype1-0000020_chr21,OTHERSAT,841432,909545
K200082_1_haplotype1-0000020_chr21,DJ,943332,1276289
K200082_1_haplotype1-0000020_chr21,rDNA,1276289,1444066
K200082_1_haplotype1-0000020_chr21,rDNA,1862207,1916194
K200082_1_haplotype1-0000020_chr21,bSat,2416894,2483611
K200082_1_haplotype1-0000020_chr21,HSat3,2508802,2596939
K200082_1_haplotype1-0000020_chr21,HSat3,2925501,3103502
K200082_1_haplotype1-0000020_chr21,HSat3,3324056,3446197
K200082_1_haplotype1-0000020_chr21,SST1,5047900,5134324
K200082_1_haplotype1-0000020_chr21,HSat1A,6499295,6688859
K200082_1_haplotype1-0000028_chr15,HSat3,146,1210935
K200082_1_haplotype1-0000028_chr15,HSat3,1283237,1572027
K200082_1_haplotype1-0000028_chr15,aSat,4226836,4365370
K200082_2_haplotype2-0000121_chr22,bSat,400746,467597
K200082_2_haplotype2-0000121_chr22,HSat3,492717,551348
K200082_2_haplotype2-0000121_chr22,HSat1B,837516,947429
K200082_2_haplotype2-0000121_chr22,HSat3,948146,1155303
K200082_2_haplotype2-0000121_chr22,ACRO,1266829,1374464
K200082_2_haplotype2-0000121_chr22,bSat,1815760,1870510
K200082_2_haplotype2-0000121_chr22,HSat3,2306877,2391357
K200082_2_haplotype2-0000121_chr22,bSat,2726326,2828837
K200082_2_haplotype2-0000121_chr22,bSat,2887928,3002036
K200082_2_haplotype2-0000121_chr22,HSat3,4087146,4172318
K200082_2_haplotype2-0000121_chr22,aSat,6101951,7004643
K200082_2_haplotype2-0000128_chr14,rDNA,0,243154
K200082_2_haplotype2-0000128_chr14,HSat3,1268603,1435474
K200082_2_haplotype2-0000128_chr14,bSat,1640352,1864161
K200082_2_haplotype2-0000128_chr14,HSat3,2196474,2398817
K200082_2_haplotype2-0000128_chr14,bSat,2486383,2701402
K200082_2_haplotype2-0000128_chr14,bSat,2762937,2874215
K200082_2_haplotype2-0000128_chr14,aSat,7745765,8186814
K200082_2_haplotype2-0000136_chr21,bSat,48350,109480
K200082_2_haplotype2-0000136_chr21,HSat3,134598,228733
K200082_2_haplotype2-0000136_chr21,HSat1B,506956,569603
K200082_2_haplotype2-0000136_chr21,HSat3,574273,777528
K200082_2_haplotype2-0000136_chr21,HSat3,999508,1121657
K200082_2_haplotype2-0000136_chr21,SST1,2773143,2851107
K200082_2_haplotype2-0000136_chr21,HSat1A,4151165,4746349
K200082_2_haplotype2-0000146_chr15,HSat3,0,4782248
K200084_1_haplotype1-0000007_chr15,HSat1A,513,118128
K200084_1_haplotype1-0000007_chr15,HSat3,118336,278846
K200084_1_haplotype1-0000007_chr15,bSat,283761,902712
K200084_1_haplotype1-0000007_chr15,ACRO,1203710,1290824
K200084_1_haplotype1-0000007_chr15,DJ,1389501,1721015
K200084_1_haplotype1-0000007_chr15,rDNA,1860771,2114466
K200084_1_haplotype1-0000007_chr15,bSat,2479349,2540479
K200084_1_haplotype1-0000007_chr15,HSat3,2566052,2623953
K200084_1_haplotype1-0000007_chr15,HSat1B,2933582,3216781
K200084_1_haplotype1-0000007_chr15,HSat3,3222113,3365108
K200084_1_haplotype1-0000007_chr15,HSat3,3855456,6956331
K200084_1_haplotype1-0000007_chr15,aSat,9701592,9969065
K200084_1_haplotype1-0000012_chr21,bSat,403054,464116
K200084_1_haplotype1-0000012_chr21,HSat3,489308,583244
K200084_1_haplotype1-0000012_chr21,HSat1B,861420,943321
K200084_1_haplotype1-0000012_chr21,HSat3,948133,1135429
K200084_1_haplotype1-0000012_chr21,HSat3,1356162,1478328
K200084_1_haplotype1-0000012_chr21,SST1,3129470,3207434
K200084_1_haplotype1-0000012_chr21,HSat1A,4648606,4776837
K200084_1_haplotype1-0000018_chr14,ACRO,66325,180403
K200084_1_haplotype1-0000018_chr14,bSat,460588,1051995
K200084_1_haplotype1-0000018_chr14,HSat3,1056862,1435159
K200084_1_haplotype1-0000018_chr14,HSat1A,1435968,1499598
K200084_1_haplotype1-0000018_chr14,bSat,1952606,2051774
K200084_1_haplotype1-0000018_chr14,HSat1B,2658897,2780929
K200084_1_haplotype1-0000018_chr14,HSat3,2785802,2840453
K200084_1_haplotype1-0000018_chr14,HSat3,3226890,4182561
K200084_1_haplotype1-0000018_chr14,aSat,8400802,9458421
K200084_1_haplotype1-0000019_chr13,SST1,1374074,1478931
K200084_1_haplotype1-0000019_chr13,HSat1A,3116485,3247606
K200084_1_haplotype1-0000019_chr13,HSat1A,3347608,3473101
K200084_1_haplotype1-0000026_chr22,ACRO,65997,239696
K200084_1_haplotype1-0000026_chr22,bSat,470062,632136
K200084_1_haplotype1-0000026_chr22,bSat,810958,1134680
K200084_1_haplotype1-0000026_chr22,HSat3,1141036,1405888
K200084_1_haplotype1-0000026_chr22,HSat1A,1406945,1477110
K200084_1_haplotype1-0000026_chr22,HSat3,1635951,1739672
K200084_1_haplotype1-0000026_chr22,ACRO,1906547,2036519
K200084_1_haplotype1-0000026_chr22,DJ,2144446,2477518
K200084_1_haplotype1-0000026_chr22,rDNA,2477518,2530766
K200084_1_haplotype1-0000026_chr22,rDNA,2630766,2853229
K200084_1_haplotype1-0000026_chr22,bSat,3221596,3288447
K200084_1_haplotype1-0000026_chr22,HSat3,3313567,3372198
K200084_1_haplotype1-0000026_chr22,HSat1B,3658368,3768281
K200084_1_haplotype1-0000026_chr22,HSat3,3769304,3976069
K200084_1_haplotype1-0000026_chr22,ACRO,4087681,4195316
K200084_1_haplotype1-0000026_chr22,bSat,4636661,4691411
K200084_1_haplotype1-0000026_chr22,HSat3,5127777,5212257
K200084_1_haplotype1-0000026_chr22,bSat,5547225,5648215
K200084_1_haplotype1-0000026_chr22,bSat,5731830,5822935
K200084_1_haplotype1-0000026_chr22,HSat3,6909174,6993274
K200084_1_haplotype1-0000026_chr22,aSat,8922915,9824243
K200084_2_haplotype2-0000070_chr15,rDNA,0,78169
K200084_2_haplotype2-0000070_chr15,bSat,443053,504182
K200084_2_haplotype2-0000070_chr15,HSat3,529373,587630
K200084_2_haplotype2-0000070_chr15,HSat1B,897629,1305270
K200084_2_haplotype2-0000070_chr15,HSat3,1313043,1440369
K200084_2_haplotype2-0000070_chr15,HSat3,1623855,2073056
K200084_2_haplotype2-0000070_chr15,HSat3,2124039,6010929
K200084_2_haplotype2-0000070_chr15,HSat3,6061929,8320913
K200084_2_haplotype2-0000074_chr21,HSat1B,297012,359659
K200084_2_haplotype2-0000074_chr21,HSat3,364329,548146
K200084_2_haplotype2-0000074_chr21,HSat3,769143,901062
K200084_2_haplotype2-0000074_chr21,SST1,2899066,2974218
K200084_2_haplotype2-0000074_chr21,HSat1A,4274927,4462539
K200084_2_haplotype2-0000078_chr14,ACRO,67399,245291
K200084_2_haplotype2-0000078_chr14,bSat,512252,748518
K200084_2_haplotype2-0000078_chr14,HSat3,898678,1224277
K200084_2_haplotype2-0000078_chr14,HSat1A,1224645,1304958
K200084_2_haplotype2-0000078_chr14,HSat3,1475828,1579661
K200084_2_haplotype2-0000078_chr14,ACRO,1759632,1935626
K200084_2_haplotype2-0000078_chr14,OTHERSAT,1951906,2005097
K200084_2_haplotype2-0000078_chr14,DJ,2032124,2329585
K200084_2_haplotype2-0000078_chr14,rDNA,2329585,2512205
K200084_2_haplotype2-0000078_chr14,bSat,2956490,3254332
K200084_2_haplotype2-0000078_chr14,HSat3,3342995,3400936
K200084_2_haplotype2-0000078_chr14,HSat3,3574909,3684589
K200084_2_haplotype2-0000078_chr14,HSat1B,3690696,3923423
K200084_2_haplotype2-0000078_chr14,aSat,8714961,10060244
K200084_2_haplotype2-0000083_chr13,bSat,403054,464116
K200084_2_haplotype2-0000083_chr13,HSat3,489308,583254
K200084_2_haplotype2-0000083_chr13,HSat1B,858184,962597
K200084_2_haplotype2-0000083_chr13,HSat3,967409,1154740
K200084_2_haplotype2-0000083_chr13,HSat3,1375481,1497662
K200084_2_haplotype2-0000083_chr13,SST1,3160659,3254188
K200084_2_haplotype2-0000083_chr13,OTHERSAT,3766581,3820564
K200084_2_haplotype2-0000083_chr13,HSat1A,4787807,4888242
K200084_2_haplotype2-0000088_chr22,ACRO,70982,165941
K200084_2_haplotype2-0000088_chr22,bSat,426735,719348
K200084_2_haplotype2-0000088_chr22,bSat,785428,1034206
K200084_2_haplotype2-0000088_chr22,HSat3,1039074,1142004
K200084_2_haplotype2-0000088_chr22,HSat1A,1142646,1487132
K200084_2_haplotype2-0000088_chr22,HSat3,1651367,1803906
K200084_2_haplotype2-0000088_chr22,ACRO,2014145,2075496
K200084_2_haplotype2-0000088_chr22,OTHERSAT,2394371,2451785
K200084_2_haplotype2-0000088_chr22,DJ,2478812,2811986
K200084_2_haplotype2-0000088_chr22,rDNA,2811986,2929359
K200084_2_haplotype2-0000088_chr22,bSat,3297273,3364560
K200084_2_haplotype2-0000088_chr22,HSat3,3389560,3440589
K200084_2_haplotype2-0000088_chr22,HSat1B,3726000,3798996
K200084_2_haplotype2-0000088_chr22,HSat3,3799664,4008514
K200084_2_haplotype2-0000088_chr22,ACRO,4122912,4192687
K200084_2_haplotype2-0000088_chr22,bSat,4640986,4727441
K200084_2_haplotype2-0000088_chr22,HSat3,5131858,5216535
K200084_2_haplotype2-0000088_chr22,bSat,5551189,5652172
K200084_2_haplotype2-0000088_chr22,bSat,5725564,5827097
K200084_2_haplotype2-0000088_chr22,HSat3,6918625,7016260
K200084_2_haplotype2-0000088_chr22,aSat,9137203,9676300
K200085_1_haplotype1-0000001_chr22,HSat1A,7943,1989592
K200085_1_haplotype1-0000001_chr22,HSat3,2005594,2109315
K200085_1_haplotype1-0000001_chr22,ACRO,2276192,2406164
K200085_1_haplotype1-0000001_chr22,DJ,2514089,2847153
K200085_1_haplotype1-0000001_chr22,rDNA,2847153,2945555
K200085_1_haplotype1-0000001_chr22,rDNA,3045616,3259656
K200085_1_haplotype1-0000001_chr22,bSat,3628024,3694875
K200085_1_haplotype1-0000001_chr22,HSat3,3719995,3778561
K200085_1_haplotype1-0000001_chr22,HSat1B,4064735,4174648
K200085_1_haplotype1-0000001_chr22,HSat3,4175365,4470869
K200085_1_haplotype1-0000001_chr22,ACRO,4584656,4692291
K200085_1_haplotype1-0000001_chr22,bSat,5133619,5188369
K200085_1_haplotype1-0000001_chr22,HSat3,5624739,5709219
K200085_1_haplotype1-0000001_chr22,bSat,6044190,6146701
K200085_1_haplotype1-0000001_chr22,bSat,6205792,6319900
K200085_1_haplotype1-0000001_chr22,HSat3,7405061,7490330
K200085_1_haplotype1-0000001_chr22,aSat,9419881,10322573
K200085_1_haplotype1-0000012_chr21,rDNA,31,348628
K200085_1_haplotype1-0000012_chr21,bSat,711905,778622
K200085_1_haplotype1-0000012_chr21,HSat3,803813,891950
K200085_1_haplotype1-0000012_chr21,HSat3,1220518,1398417
K200085_1_haplotype1-0000012_chr21,HSat3,1618971,1741117
K200085_1_haplotype1-0000012_chr21,SST1,3325363,3411787
K200085_1_haplotype1-0000012_chr21,HSat1A,4776767,4966335
K200085_1_haplotype1-0000015_chr13,ACRO,9492,249131
K200085_1_haplotype1-0000015_chr13,bSat,601248,822059
K200085_1_haplotype1-0000015_chr13,bSat,891288,942133
K200085_1_haplotype1-0000015_chr13,HSat3,989006,1274174
K200085_1_haplotype1-0000015_chr13,HSat1A,1276226,1733832
K200085_1_haplotype1-0000015_chr13,HSat1A,1834614,2154389
K200085_1_haplotype1-0000015_chr13,HSat3,2181636,2278968
K200085_1_haplotype1-0000015_chr13,DJ,2786791,3119599
K200085_1_haplotype1-0000015_chr13,rDNA,3119599,3213215
K200085_1_haplotype1-0000015_chr13,HSat1A,6293883,6902173
K200085_1_haplotype1-0000025_chr15,HSat3,30,548640
K200085_1_haplotype1-0000025_chr15,HSat3,599623,1047017
K200085_1_haplotype1-0000025_chr15,HSat3,1223627,1353015
K200085_1_haplotype1-0000025_chr15,HSat1B,1365602,1773243
K200085_1_haplotype1-0000025_chr15,HSat3,2168639,4382151
K200085_1_haplotype1-0000025_chr15,HSat3,4444015,4576935
K200085_1_haplotype1-0000026_chr14,rDNA,0,98816
K200085_1_haplotype1-0000026_chr14,bSat,399023,461108
K200085_1_haplotype1-0000026_chr14,HSat3,475922,725566
K200085_1_haplotype1-0000026_chr14,HSat1B,1070184,1177869
K200085_1_haplotype1-0000026_chr14,HSat3,1291533,1377007
K200085_1_haplotype1-0000026_chr14,aSat,6002665,6266011
K200085_2_haplotype2-0000042_chr22,ACRO,64598,159557
K200085_2_haplotype2-0000042_chr22,bSat,420348,712962
K200085_2_haplotype2-0000042_chr22,bSat,779042,1027820
K200085_2_haplotype2-0000042_chr22,HSat3,1032753,1135618
K200085_2_haplotype2-0000042_chr22,HSat1A,1136260,2034798
K200085_2_haplotype2-0000042_chr22,HSat3,2061764,2214302
K200085_2_haplotype2-0000042_chr22,ACRO,2424540,2485891
K200085_2_haplotype2-0000042_chr22,OTHERSAT,2804766,2862180
K200085_2_haplotype2-0000042_chr22,DJ,2889207,3222385
K200085_2_haplotype2-0000042_chr22,rDNA,3222385,3285790
K200085_2_haplotype2-0000042_chr22,bSat,3778802,3846089
K200085_2_haplotype2-0000042_chr22,HSat3,3871089,3922118
K200085_2_haplotype2-0000042_chr22,HSat1B,4207532,4280528
K200085_2_haplotype2-0000042_chr22,HSat3,4281196,4491997
K200085_2_haplotype2-0000042_chr22,ACRO,4604310,4674085
K200085_2_haplotype2-0000042_chr22,bSat,5122383,5208838
K200085_2_haplotype2-0000042_chr22,HSat3,5613255,5697932
K200085_2_haplotype2-0000042_chr22,bSat,6032589,6133572
K200085_2_haplotype2-0000042_chr22,bSat,6206964,6308497
K200085_2_haplotype2-0000042_chr22,aSat,9646952,10184913
K200085_2_haplotype2-0000053_chr21,SST1,1655379,1733343
K200085_2_haplotype2-0000053_chr21,HSat1A,3033406,3654037
K200085_2_haplotype2-0000056_chr13,SST1,1492547,1591788
K200085_2_haplotype2-0000056_chr13,HSat1A,3075664,3917749
K200085_2_haplotype2-0000063_chr15,ACRO,69097,213623
K200085_2_haplotype2-0000063_chr15,HSat3,438593,607940
K200085_2_haplotype2-0000063_chr15,HSat1A,634941,1174048
K200085_2_haplotype2-0000063_chr15,HSat3,1175022,1335573
K200085_2_haplotype2-0000063_chr15,bSat,1340441,1959392
K200085_2_haplotype2-0000063_chr15,ACRO,2254691,2347505
K200085_2_haplotype2-0000063_chr15,DJ,2446182,2777702
K200085_2_haplotype2-0000063_chr15,HSat1B,3176404,3459603
K200085_2_haplotype2-0000063_chr15,HSat3,3464935,3607930
K200085_2_haplotype2-0000063_chr15,HSat3,4098278,6982455
K200085_2_haplotype2-0000063_chr15,aSat,9734551,10415895
K200085_2_haplotype2-0000064_chr14,ACRO,65938,243830
K200085_2_haplotype2-0000064_chr14,bSat,510803,747069
K200085_2_haplotype2-0000064_chr14,HSat3,897229,1222726
K200085_2_haplotype2-0000064_chr14,HSat1A,1223094,1498555
K200085_2_haplotype2-0000064_chr14,HSat3,1525137,1628825
K200085_2_haplotype2-0000064_chr14,ACRO,1808794,1984788
K200085_2_haplotype2-0000064_chr14,OTHERSAT,2001068,2054259
K200085_2_haplotype2-0000064_chr14,DJ,2081286,2378752
K200085_2_haplotype2-0000064_chr14,rDNA,2496999,2692038
K200085_2_haplotype2-0000064_chr14,bSat,3136328,3434170
K200085_2_haplotype2-0000064_chr14,HSat3,3522835,3580776
K200085_2_haplotype2-0000064_chr14,HSat3,3754750,3864430
K200085_2_haplotype2-0000064_chr14,HSat1B,3870537,4103264
K200085_2_haplotype2-0000064_chr14,aSat,8894810,10240093
K200086_1_haplotype1-0000024_chr21,HSat3,0,82235
K200086_1_haplotype1-0000024_chr21,HSat3,302844,424987
K200086_1_haplotype1-0000024_chr21,SST1,2009275,2095699
K200086_1_haplotype1-0000024_chr21,aSat,3513869,3592823
