tig,sample,hap,chrom,arm_mb,nblocks,syntax,complete
NA12883_1_haplotype1-0000025_chr14,NA12883,1,chr14,9.97472,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
NA12883_2_haplotype2-0000078_chr13,NA12883,2,chr13,7.544613,12,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12883_2_haplotype2-0000080_chr21,NA12883,2,chr21,5.01053,7,bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12883_2_haplotype2-0000081_chr22,NA12883,2,chr22,6.487823,6,HSat3-HSat1B-HSat3-HSat3-HSat3-aSat,False
NA12883_2_haplotype2-0000084_chr14,NA12883,2,chr14,9.785107,11,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-bSat-HSat3-bSat-bSat-aSat,False
NA12883_2_haplotype2-0000087_chr15,NA12883,2,chr15,5.641151,2,HSat3-aSat,False
NA12884_1_haplotype1-0000003_chr14,NA12884,1,chr14,10.311014,15,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
NA12884_1_haplotype1-0000009_chr22,NA12884,1,chr22,7.07717,12,rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
NA12884_1_haplotype1-0000010_chr21,NA12884,1,chr21,8.608078,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12884_1_haplotype1-0000015_chr15,NA12884,1,chr15,11.582663,16,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat1B-HSat3-HSat3-aSat-aSat,True
NA12884_1_haplotype1-0000016_chr13,NA12884,1,chr13,8.166265,11,HSat3-HSat1A-HSat3-ACRO-DJ-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12884_2_haplotype2-0000058_chr14,NA12884,2,chr14,10.908395,15,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-rDNA-HSat3-bSat-HSat3-bSat-bSat-aSat,False
NA12884_2_haplotype2-0000067_chr15,NA12884,2,chr15,8.811863,5,bSat-HSat1B-HSat3-HSat3-aSat,False
NA12884_2_haplotype2-0000068_chr13,NA12884,2,chr13,8.677093,15,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-rDNA-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12884_2_haplotype2-0000071_chr22,NA12884,2,chr22,11.648529,16,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12884_2_haplotype2-0000075_chr21,NA12884,2,chr21,8.128186,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12885_1_haplotype1-0000009_chr22,NA12885,1,chr22,10.721836,18,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
NA12885_1_haplotype1-0000011_chr13,NA12885,1,chr13,8.512301,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12885_1_haplotype1-0000013_chr14,NA12885,1,chr14,9.011343,20,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-bSat-HSat3-bSat-bSat-HSat3-aSat,True
NA12885_1_haplotype1-0000016_chr15,NA12885,1,chr15,13.2053,13,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-bSat-HSat1B-HSat3-HSat3-aSat,False
NA12885_1_haplotype1-0000025_chr21,NA12885,1,chr21,8.629797,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12885_2_haplotype2-0000064_chr14,NA12885,2,chr14,10.155918,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
NA12885_2_haplotype2-0000067_chr22,NA12885,2,chr22,12.839606,17,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12885_2_haplotype2-0000069_chr13,NA12885,2,chr13,8.612037,13,HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12885_2_haplotype2-0000072_chr15,NA12885,2,chr15,10.255806,14,bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat1B-HSat3-HSat3-HSat3-aSat,True
NA12885_2_haplotype2-0000078_chr21,NA12885,2,chr21,7.859556,13,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12886_1_haplotype1-0000005_chr21,NA12886,1,chr21,2.458111,2,SST1-HSat1A,False
NA12886_1_haplotype1-0000009_chr14,NA12886,1,chr14,10.93885,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-HSat3-bSat-HSat3-bSat-bSat-aSat,True
NA12886_1_haplotype1-0000015_chr22,NA12886,1,chr22,11.350837,19,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
NA12886_1_haplotype1-0000017_chr13,NA12886,1,chr13,6.14073,7,bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12886_1_haplotype1-0000027_chr15,NA12886,1,chr15,9.458233,6,rDNA-bSat-HSat1B-HSat3-HSat3-aSat,False
NA12886_2_haplotype2-0000078_chr21,NA12886,2,chr21,8.450803,14,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-rDNA-bSat-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12886_2_haplotype2-0000085_chr14,NA12886,2,chr14,9.776834,14,bSat-HSat3-HSat1A-HSat3-DJ-rDNA-rDNA-bSat-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12886_2_haplotype2-0000086_chr13,NA12886,2,chr13,8.575615,15,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-rDNA-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12886_2_haplotype2-0000091_chr22,NA12886,2,chr22,11.521723,16,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
