arm,chrom,source,segment,slot,start,end,bp,pred,post,slot_sat_mass
HG00232_h1_chr21,chr21,censat,distal,8,3388858,3448133,59275,ACRO,0.9508928571428572,0.797153024911032
HG00232_h1_chr21,chr21,censat,proximal,13,6996680,7074639,77959,SST1,0.838235294117647,0.9315068493150686
HG00232_h1_chr22,chr22,censat,proximal,-1,2938831,3053863,115032,,,0.0
HG00232_h2_chr15,chr15,censat,distal,1,69257,163107,93850,ACRO,0.8491379310344828,0.9789029535864978
HG00232_h2_chr15,chr15,censat,distal,8,2114123,2187686,73563,ACRO,0.9508928571428572,0.797153024911032
HG00232_h2_chr21,chr21,censat,proximal,13,3341328,3422125,80797,SST1,0.838235294117647,0.9315068493150686
HG00232_h2_chr13,chr13,censat,proximal,13,3852006,4146252,294246,HSat3,0.49074074074074064,0.9557522123893807
HG00235_h1_chr21,chr21,censat,distal,1,68177,415244,347067,ACRO,0.8491379310344828,0.9789029535864978
HG00235_h1_chr21,chr21,censat,distal,8,3445715,3712589,266874,ACRO,0.9508928571428572,0.797153024911032
HG00235_h1_chr14,chr14,censat,distal,1,69645,151264,81619,ACRO,0.8491379310344828,0.9789029535864978
HG00235_h1_chr14,chr14,censat,distal,-1,2173297,2234497,61200,,,0.0
HG00235_h1_chr14,chr14,censat,distal,-1,2334757,2396554,61797,,,0.0
HG00235_h1_chr14,chr14,censat,distal,8,2554535,2624611,70076,ACRO,0.9508928571428572,0.797153024911032
HG00235_h2_chr14,chr14,censat,distal,1,69645,151264,81619,ACRO,0.8491379310344828,0.9789029535864978
HG00235_h2_chr14,chr14,censat,distal,-1,2173297,2234497,61200,,,0.0
HG00235_h2_chr14,chr14,censat,distal,-1,2334757,2396554,61797,,,0.0
HG00235_h2_chr14,chr14,censat,distal,8,2554535,2624610,70075,ACRO,0.9508928571428572,0.797153024911032
HG00235_h2_chr21,chr21,censat,distal,1,69807,210114,140307,ACRO,0.8491379310344828,0.9789029535864978
HG00235_h2_chr21,chr21,censat,distal,8,2018529,2237480,218951,ACRO,0.9508928571428572,0.797153024911032
HG00235_h2_chr21,chr21,censat,proximal,13,5758575,5829477,70902,SST1,0.838235294117647,0.9315068493150686
HG00235_h2_chr22,chr22,censat,distal,1,75052,483656,408604,ACRO,0.8491379310344828,0.9789029535864978
HG00235_h2_chr22,chr22,censat,distal,8,2722512,3150967,428455,ACRO,0.9508928571428572,0.797153024911032
HG00235_h2_chr22,chr22,censat,proximal,-1,6565500,6740749,175249,,,0.0
HG00235_h2_chr13,chr13,censat,proximal,13,3272412,3364499,92087,HSat3,0.49074074074074064,0.9557522123893807
HG00253_h1_chr22,chr22,censat,distal,1,69525,261496,191971,ACRO,0.8491379310344828,0.9789029535864978
HG00253_h1_chr22,chr22,censat,distal,8,2477232,2694732,217500,ACRO,0.9508928571428572,0.797153024911032
HG00253_h1_chr13,chr13,censat,proximal,13,3802864,3858277,55413,HSat3,0.49074074074074064,0.9557522123893807
HG00253_h1_chr21,chr21,censat,distal,1,69314,186027,116713,ACRO,0.8491379310344828,0.9789029535864978
HG00253_h1_chr21,chr21,censat,distal,8,2098393,2310523,212130,ACRO,0.9508928571428572,0.797153024911032
HG00253_h1_chr21,chr21,censat,proximal,13,5780954,5856091,75137,SST1,0.838235294117647,0.9315068493150686
HG00253_h2_chr21,chr21,censat,proximal,13,3451167,3507983,56816,SST1,0.838235294117647,0.9315068493150686
HG00253_h2_chr13,chr13,censat,proximal,13,3419400,3699548,280148,HSat3,0.49074074074074064,0.9557522123893807
HG00272_h1_chr13,chr13,censat,distal,1,69473,203823,134350,ACRO,0.8491379310344828,0.9789029535864978
HG00272_h1_chr13,chr13,censat,distal,8,3015265,3142397,127132,ACRO,0.9508928571428572,0.797153024911032
HG00272_h1_chr13,chr13,censat,proximal,13,7237047,7319273,82226,HSat3,0.49074074074074064,0.9557522123893807
HG00272_h2_chr14,chr14,censat,proximal,19,4515494,4590511,75017,HSat3,0.988095238095238,0.9915682967959528
HG00280_h1_chr13,chr13,censat,proximal,13,4254495,4345149,90654,HSat3,0.49074074074074064,0.9557522123893807
HG00280_h1_chr14,chr14,censat,proximal,13,4908423,4983529,75106,HSat1B,0.6018518518518517,0.9557522123893807
HG00280_h2_chr13,chr13,censat,distal,1,75774,148630,72856,ACRO,0.8491379310344828,0.9789029535864978
HG00280_h2_chr13,chr13,censat,distal,-1,2393696,2454874,61178,,,0.0
HG00280_h2_chr13,chr13,censat,distal,8,2555126,2615634,60508,ACRO,0.9508928571428572,0.797153024911032
HG00280_h2_chr13,chr13,censat,proximal,13,6614763,6736507,121744,HSat3,0.49074074074074064,0.9557522123893807
HG00280_h2_chr21,chr21,censat,proximal,13,3491088,3547904,56816,SST1,0.838235294117647,0.9315068493150686
HG00290_h1_chr13,chr13,censat,proximal,13,3408761,3513688,104927,HSat3,0.49074074074074064,0.9557522123893807
HG00290_h1_chr21,chr21,censat,proximal,13,3653025,3888048,235023,SST1,0.838235294117647,0.9315068493150686
HG00290_h1_chr22,chr22,censat,proximal,5,1432901,1514806,81905,bSat,0.7794117647058824,0.9315068493150686
HG00290_h2_chr13,chr13,censat,proximal,13,4489501,4554852,65351,HSat3,0.49074074074074064,0.9557522123893807
HG00320_h1_chr21,chr21,censat,proximal,13,2804245,2952706,148461,SST1,0.838235294117647,0.9315068493150686
HG00320_h1_chr14,chr14,censat,distal,1,69480,610343,540863,ACRO,0.8491379310344828,0.9789029535864978
HG00320_h1_chr14,chr14,censat,distal,8,2679244,2743340,64096,ACRO,0.9508928571428572,0.797153024911032
HG00320_h2_chr15,chr15,censat,distal,1,70749,177941,107192,ACRO,0.8491379310344828,0.9789029535864978
HG00320_h2_chr15,chr15,censat,distal,8,2821856,3056539,234683,ACRO,0.9508928571428572,0.797153024911032
HG00321_h1_chr15,chr15,censat,distal,1,65340,188578,123238,ACRO,0.8491379310344828,0.9789029535864978
HG00321_h1_chr15,chr15,censat,distal,8,4309591,4517645,208054,ACRO,0.9508928571428572,0.797153024911032
HG00321_h1_chr13,chr13,censat,proximal,13,3509616,3589012,79396,HSat3,0.49074074074074064,0.9557522123893807
HG00321_h2_chr13,chr13,censat,distal,1,68262,161779,93517,ACRO,0.8491379310344828,0.9789029535864978
HG00321_h2_chr13,chr13,censat,proximal,13,7434983,7723590,288607,HSat3,0.49074074074074064,0.9557522123893807
HG00321_h2_chr21,chr21,censat,proximal,13,3507132,3572424,65292,SST1,0.838235294117647,0.9315068493150686
HG00321_h2_chr22,chr22,censat,proximal,5,1605571,1662223,56652,bSat,0.7794117647058824,0.9315068493150686
HG00323_h2_chr22,chr22,censat,distal,1,70814,148654,77840,ACRO,0.8491379310344828,0.9789029535864978
HG00329_h1_chr14,chr14,censat,distal,8,3581466,3839552,258086,ACRO,0.9508928571428572,0.797153024911032
HG00329_h1_chr22,chr22,censat,distal,8,2715196,2965508,250312,ACRO,0.9508928571428572,0.797153024911032
HG00329_h1_chr13,chr13,censat,proximal,13,4297988,4405687,107699,HSat3,0.49074074074074064,0.9557522123893807
HG00329_h2_chr13,chr13,censat,distal,1,67726,224232,156506,ACRO,0.8491379310344828,0.9789029535864978
HG00329_h2_chr13,chr13,censat,distal,-1,2795742,3203922,408180,,,0.0
HG00329_h2_chr13,chr13,censat,distal,8,3304858,3366470,61612,ACRO,0.9508928571428572,0.797153024911032
HG00329_h2_chr13,chr13,censat,proximal,13,7221676,7327857,106181,HSat3,0.49074074074074064,0.9557522123893807
HG00329_h2_chr14,chr14,censat,distal,1,70546,170451,99905,ACRO,0.8491379310344828,0.9789029535864978
HG00329_h2_chr14,chr14,censat,distal,8,2231077,2520750,289673,ACRO,0.9508928571428572,0.797153024911032
HG00329_h2_chr14,chr14,censat,proximal,5,4050321,4274249,223928,bSat,0.9296875,0.987146529562982
HG00329_h2_chr21,chr21,censat,proximal,13,3304327,3378064,73737,SST1,0.838235294117647,0.9315068493150686
HG00344_h1_chr21,chr21,censat,proximal,13,3319902,3396442,76540,SST1,0.838235294117647,0.9315068493150686
HG00344_h1_chr13,chr13,censat,proximal,13,3000917,3100165,99248,HSat3,0.49074074074074064,0.9557522123893807
HG00344_h2_chr22,chr22,censat,proximal,5,1871237,1965770,94533,bSat,0.7794117647058824,0.9315068493150686
HG00344_h2_chr14,chr14,censat,proximal,13,3394385,3445513,51128,HSat1B,0.6018518518518517,0.9557522123893807
HG00344_h2_chr14,chr14,censat,proximal,-1,5525949,5592879,66930,,,0.0
HG00344_h2_chr21,chr21,censat,proximal,13,3374792,3440087,65295,SST1,0.838235294117647,0.9315068493150686
HG00350_h2_chr14,chr14,censat,proximal,13,3232398,3283526,51128,HSat1B,0.6018518518518517,0.9557522123893807
HG01167_h1_chr13,chr13,censat,distal,-1,3647037,3708835,61798,,,0.0
HG01167_h1_chr13,chr13,censat,distal,8,3866812,3936744,69932,ACRO,0.9508928571428572,0.797153024911032
HG01167_h1_chr14,chr14,censat,distal,1,65327,186431,121104,ACRO,0.8491379310344828,0.9789029535864978
HG01167_h1_chr14,chr14,censat,distal,8,1953416,2053932,100516,ACRO,0.9508928571428572,0.797153024911032
HG01167_h1_chr21,chr21,censat,proximal,-1,1679644,1744874,65230,,,0.0
HG01167_h1_chr21,chr21,censat,proximal,13,4238768,4295583,56815,SST1,0.838235294117647,0.9315068493150686
HG01167_h2_chr22,chr22,censat,proximal,5,1943436,2012697,69261,bSat,0.7794117647058824,0.9315068493150686
HG01167_h2_chr13,chr13,censat,proximal,13,4587534,4671175,83641,HSat3,0.49074074074074064,0.9557522123893807
HG01530_h1_chr21,chr21,censat,proximal,13,3597713,3664429,66716,SST1,0.838235294117647,0.9315068493150686
HG01530_h2_chr22,chr22,censat,distal,1,5486,260617,255131,ACRO,0.8491379310344828,0.9789029535864978
HG01530_h2_chr22,chr22,censat,distal,8,2453157,2571339,118182,ACRO,0.9508928571428572,0.797153024911032
HG01530_h2_chr22,chr22,censat,proximal,5,4479315,4548568,69253,bSat,0.7794117647058824,0.9315068493150686
HG01530_h2_chr21,chr21,censat,proximal,13,3356378,3418850,62472,SST1,0.838235294117647,0.9315068493150686
HG01784_h1_chr15,chr15,censat,distal,-1,4482371,4654830,172459,,,0.0
HG01784_h1_chr15,chr15,censat,distal,8,4755770,4817379,61609,ACRO,0.9508928571428572,0.797153024911032
HG01784_h1_chr22,chr22,censat,distal,1,80709,605454,524745,ACRO,0.8491379310344828,0.9789029535864978
HG01784_h1_chr22,chr22,censat,distal,8,3143201,3480317,337116,ACRO,0.9508928571428572,0.797153024911032
HG01784_h1_chr13,chr13,censat,proximal,13,3102394,3342625,240231,HSat3,0.49074074074074064,0.9557522123893807
HG01784_h1_chr21,chr21,censat,proximal,13,3317031,3383709,66678,SST1,0.838235294117647,0.9315068493150686
HG01784_h2_chr22,chr22,censat,distal,1,70801,151419,80618,ACRO,0.8491379310344828,0.9789029535864978
HG01784_h2_chr22,chr22,censat,distal,-1,2314051,2375802,61751,,,0.0
HG01784_h2_chr22,chr22,censat,distal,8,2533785,2603861,70076,ACRO,0.9508928571428572,0.797153024911032
HG01784_h2_chr13,chr13,censat,proximal,13,4353882,4505170,151288,HSat3,0.49074074074074064,0.9557522123893807
HG02040_h1_chr22,chr22,censat,distal,8,2524628,2598365,73737,ACRO,0.9508928571428572,0.797153024911032
HG02040_h1_chr21,chr21,censat,proximal,13,3779187,3837411,58224,SST1,0.838235294117647,0.9315068493150686
HG02040_h1_chr14,chr14,censat,proximal,13,2737865,2810144,72279,HSat1B,0.6018518518518517,0.9557522123893807
HG02040_h2_chr14,chr14,censat,distal,-1,69645,196134,126489,,,0.0
HG02040_h2_chr14,chr14,censat,distal,1,1177892,1365957,188065,ACRO,0.8491379310344828,0.9789029535864978
HG02040_h2_chr14,chr14,censat,distal,-1,3986271,4099326,113055,,,0.0
HG02040_h2_chr14,chr14,censat,distal,8,4200265,4261877,61612,ACRO,0.9508928571428572,0.797153024911032
HG02040_h2_chr13,chr13,censat,proximal,13,3163326,3228619,65293,HSat3,0.49074074074074064,0.9557522123893807
HG02040_h2_chr21,chr21,censat,proximal,13,4659740,4737693,77953,SST1,0.838235294117647,0.9315068493150686
HG02155_h1_chr15,chr15,censat,distal,1,75637,357141,281504,ACRO,0.8491379310344828,0.9789029535864978
HG02155_h1_chr15,chr15,censat,distal,8,2390036,2488440,98404,ACRO,0.9508928571428572,0.797153024911032
HG02155_h1_chr21,chr21,censat,proximal,13,3096663,3214081,117418,SST1,0.838235294117647,0.9315068493150686
HG02155_h1_chr14,chr14,censat,proximal,17,4544211,4610860,66649,HSat3,0.9886363636363635,0.9919484702093398
HG02155_h1_chr22,chr22,censat,distal,6,526577,613809,87232,HSat3,0.9926778242677824,0.9947970863683663
HG02155_h1_chr22,chr22,censat,distal,8,714747,776359,61612,ACRO,0.9508928571428572,0.797153024911032
HG02155_h2_chr14,chr14,censat,distal,1,73655,212612,138957,ACRO,0.8491379310344828,0.9789029535864978
HG02155_h2_chr14,chr14,censat,distal,8,2263144,2322322,59178,ACRO,0.9508928571428572,0.797153024911032
HG02165_h1_chr15,chr15,censat,distal,1,83143,249179,166036,ACRO,0.8491379310344828,0.9789029535864978
HG02165_h1_chr15,chr15,censat,distal,8,2140810,2441706,300896,ACRO,0.9508928571428572,0.797153024911032
HG02165_h1_chr22,chr22,censat,distal,1,83646,411810,328164,ACRO,0.8491379310344828,0.9789029535864978
HG02165_h1_chr22,chr22,censat,distal,8,3010281,3084018,73737,ACRO,0.9508928571428572,0.797153024911032
HG02165_h1_chr22,chr22,censat,proximal,5,4879569,5112996,233427,bSat,0.7794117647058824,0.9315068493150686
HG02165_h1_chr21,chr21,censat,proximal,13,3348185,3427562,79377,SST1,0.838235294117647,0.9315068493150686
HG02165_h2_chr14,chr14,censat,distal,1,64430,203481,139051,ACRO,0.8491379310344828,0.9789029535864978
HG02165_h2_chr14,chr14,censat,distal,8,1899632,2249489,349857,ACRO,0.9508928571428572,0.797153024911032
HG02165_h2_chr21,chr21,censat,proximal,13,3271533,3357945,86412,SST1,0.838235294117647,0.9315068493150686
HG02178_h1_chr13,chr13,censat,distal,8,1340351,1603817,263466,ACRO,0.9508928571428572,0.797153024911032
HG02178_h1_chr13,chr13,censat,proximal,13,5532976,5612370,79394,HSat3,0.49074074074074064,0.9557522123893807
HG02178_h1_chr22,chr22,censat,proximal,5,1553027,1729630,176603,bSat,0.7794117647058824,0.9315068493150686
HG02178_h1_chr22,chr22,censat,proximal,-1,3633393,3767766,134373,,,0.0
HG02178_h2_chr13,chr13,censat,distal,8,1894911,2002569,107658,ACRO,0.9508928571428572,0.797153024911032
HG02178_h2_chr13,chr13,censat,proximal,13,5794267,5875070,80803,HSat3,0.49074074074074064,0.9557522123893807
HG02178_h2_chr22,chr22,censat,proximal,5,1490643,1610420,119777,bSat,0.7794117647058824,0.9315068493150686
HG02273_h1_chr22,chr22,censat,proximal,5,1696528,1872974,176446,bSat,0.7794117647058824,0.9315068493150686
HG02273_h2_chr22,chr22,censat,proximal,5,2003920,2060561,56641,bSat,0.7794117647058824,0.9315068493150686
HG02273_h2_chr14,chr14,censat,proximal,13,5124202,5242891,118689,HSat1B,0.6018518518518517,0.9557522123893807
HG02391_h1_chr22,chr22,censat,proximal,5,5015371,5072020,56649,bSat,0.7794117647058824,0.9315068493150686
HG02391_h1_chr13,chr13,censat,proximal,13,3264348,3323990,59642,HSat3,0.49074074074074064,0.9557522123893807
HG02391_h1_chr14,chr14,censat,proximal,13,4527693,4590117,62424,HSat1B,0.6018518518518517,0.9557522123893807
HG02391_h1_chr21,chr21,censat,proximal,13,3547785,3622917,75132,SST1,0.838235294117647,0.9315068493150686
HG02391_h2_chr13,chr13,censat,proximal,13,4001792,4113685,111893,HSat3,0.49074074074074064,0.9557522123893807
HG02391_h2_chr21,chr21,censat,proximal,13,3734315,3808077,73762,SST1,0.838235294117647,0.9315068493150686
HG02392_h1_chr14,chr14,censat,distal,1,65065,179473,114408,ACRO,0.8491379310344828,0.9789029535864978
HG02392_h1_chr14,chr14,censat,distal,8,2560464,2854134,293670,ACRO,0.9508928571428572,0.797153024911032
HG02392_h1_chr14,chr14,censat,proximal,13,6553329,6629797,76468,HSat1B,0.6018518518518517,0.9557522123893807
HG02392_h1_chr22,chr22,censat,distal,1,71829,354243,282414,ACRO,0.8491379310344828,0.9789029535864978
HG02392_h1_chr22,chr22,censat,distal,8,2441404,2641112,199708,ACRO,0.9508928571428572,0.797153024911032
HG02392_h1_chr22,chr22,censat,proximal,5,4701527,4777110,75583,bSat,0.7794117647058824,0.9315068493150686
HG02392_h1_chr13,chr13,censat,proximal,13,3155476,3230644,75168,HSat3,0.49074074074074064,0.9557522123893807
HG02392_h2_chr14,chr14,censat,distal,1,65485,212341,146856,ACRO,0.8491379310344828,0.9789029535864978
HG02392_h2_chr14,chr14,censat,distal,8,1916470,2201070,284600,ACRO,0.9508928571428572,0.797153024911032
HG02392_h2_chr14,chr14,censat,proximal,13,5612347,5683231,70884,HSat1B,0.6018518518518517,0.9557522123893807
HG02392_h2_chr22,chr22,censat,distal,1,77114,175249,98135,ACRO,0.8491379310344828,0.9789029535864978
HG02392_h2_chr22,chr22,censat,distal,8,2979558,3087724,108166,ACRO,0.9508928571428572,0.797153024911032
HG02392_h2_chr22,chr22,censat,proximal,5,4672339,4754259,81920,bSat,0.7794117647058824,0.9315068493150686
HG02583_h1_chr15,chr15,censat,distal,1,72570,267609,195039,ACRO,0.8491379310344828,0.9789029535864978
HG02583_h1_chr22,chr22,censat,distal,1,65469,538046,472577,ACRO,0.8491379310344828,0.9789029535864978
HG02583_h1_chr22,chr22,censat,distal,8,2596024,2651137,55113,ACRO,0.9508928571428572,0.797153024911032
HG02583_h1_chr21,chr21,censat,proximal,13,3579588,3632064,52476,SST1,0.838235294117647,0.9315068493150686
HG02583_h2_chr22,chr22,censat,distal,1,64898,449471,384573,ACRO,0.8491379310344828,0.9789029535864978
HG02583_h2_chr22,chr22,censat,distal,8,3218165,3447000,228835,ACRO,0.9508928571428572,0.797153024911032
HG02583_h2_chr14,chr14,censat,proximal,6,1969569,2032674,63105,,,0.017057569296375266
HG02583_h2_chr14,chr14,censat,proximal,13,4686343,4785445,99102,HSat1B,0.6018518518518517,0.9557522123893807
HG02583_h2_chr14,chr14,censat,proximal,-1,6966088,7207723,241635,,,0.0
HG02922_h1_chr15,chr15,censat,distal,1,77519,222629,145110,ACRO,0.8491379310344828,0.9789029535864978
HG02922_h1_chr15,chr15,censat,distal,8,2021393,2280418,259025,ACRO,0.9508928571428572,0.797153024911032
HG02922_h1_chr13,chr13,censat,proximal,13,3288556,3348293,59737,HSat3,0.49074074074074064,0.9557522123893807
HG02922_h1_chr22,chr22,censat,distal,1,52117,159602,107485,ACRO,0.8491379310344828,0.9789029535864978
HG02922_h1_chr22,chr22,censat,distal,-1,1358225,1458219,99994,,,0.0
HG02922_h1_chr22,chr22,censat,distal,8,1558521,1620036,61515,ACRO,0.9508928571428572,0.797153024911032
HG02922_h2_chr13,chr13,censat,proximal,13,3288590,3348331,59741,HSat3,0.49074074074074064,0.9557522123893807
HG02922_h2_chr21,chr21,censat,proximal,13,4440253,4506949,66696,SST1,0.838235294117647,0.9315068493150686
HG02922_h2_chr22,chr22,censat,proximal,-1,1629609,1736818,107209,,,0.0
HG02922_h2_chr14,chr14,censat,proximal,13,4046621,4124469,77848,HSat1B,0.6018518518518517,0.9557522123893807
HG02965_h1_chr14,chr14,censat,distal,1,65426,204145,138719,ACRO,0.8491379310344828,0.9789029535864978
HG02965_h1_chr14,chr14,censat,distal,8,2700170,2763388,63218,ACRO,0.9508928571428572,0.797153024911032
HG02965_h1_chr14,chr14,censat,proximal,13,8099806,8206065,106259,HSat1B,0.6018518518518517,0.9557522123893807
HG02965_h1_chr13,chr13,censat,proximal,13,3352546,3407875,55329,HSat3,0.49074074074074064,0.9557522123893807
HG02965_h1_chr21,chr21,censat,proximal,13,3537797,3639713,101916,SST1,0.838235294117647,0.9315068493150686
HG02965_h2_chr13,chr13,censat,distal,8,3405754,3596396,190642,ACRO,0.9508928571428572,0.797153024911032
HG02965_h2_chr15,chr15,censat,distal,1,74276,159831,85555,ACRO,0.8491379310344828,0.9789029535864978
HG02965_h2_chr15,chr15,censat,distal,8,1802841,2037344,234503,ACRO,0.9508928571428572,0.797153024911032
HG02965_h2_chr22,chr22,censat,distal,1,83009,322653,239644,ACRO,0.8491379310344828,0.9789029535864978
HG02965_h2_chr22,chr22,censat,distal,-1,2623949,2806102,182153,,,0.0
HG02965_h2_chr22,chr22,censat,distal,8,3036947,3095275,58328,ACRO,0.9508928571428572,0.797153024911032
HG02965_h2_chr14,chr14,censat,proximal,13,2791992,2861457,69465,HSat1B,0.6018518518518517,0.9557522123893807
