chrom,fam,start,end,bp,med_mu,f150,f10k,f100k,f1M
chr13,ct,10769666,10961021,191355,290.0,0.3397454992030519,1.0,1.0,1.0
chr13,ct,10989461,11021233,31772,1428.0,0.03880775525620043,1.0,1.0,1.0
chr13,ct,11023216,11048571,25355,3103.0,0.02792348649181621,0.7760205087753894,1.0,1.0
chr13,ct,11049299,11070649,21350,1644.0,0.05133489461358314,1.0,1.0,1.0
chr13,hsat3,11070649,11143577,72928,717.0,0.11270019745502413,0.9579311101360246,1.0,1.0
chr13,hor,11155531,11191439,35908,628.0,0.11331736660354239,0.99197950317478,1.0,1.0
chr13,mon,11191439,11334389,142950,1781.0,0.055389996502273525,0.9419377404686954,1.0,1.0
chr13,hsat3,11334389,11370461,36072,283.0,0.2833222444000887,1.0,1.0,1.0
chr13,mon,11370461,11417952,47491,631.0,0.12309700785411973,1.0,1.0,1.0
chr13,mon,11430303,11490233,59930,559.0,0.1316702819956616,1.0,1.0,1.0
chr13,ct,11490233,11615705,125472,578.0,0.11971595256312165,1.0,1.0,1.0
chr13,ct,11621148,11700049,78901,282.0,0.2900343468397105,1.0,1.0,1.0
chr13,ct,11709200,11737545,28345,208.0,0.3901922737696243,1.0,1.0,1.0
chr13,mon,11737545,11812455,74910,306.0,0.25877719930583365,1.0,1.0,1.0
chr13,hsat3,11837443,11948431,110988,402.0,0.2031480880815944,1.0,1.0,1.0
chr13,ct,11948431,12068771,120340,484.0,0.19291175004154895,1.0,1.0,1.0
chr13,ct,12085439,12301366,215927,298.0,0.27595437346881124,1.0,1.0,1.0
chr13,censat,12301366,12440010,138644,831.5,0.133348720463922,1.0,1.0,1.0
chr13,ct,12440010,12718342,278332,379.0,0.21569205121940704,1.0,1.0,1.0
chr13,ct,12735050,12836659,101609,345.0,0.23839423673099824,1.0,1.0,1.0
chr13,ct,12842110,12968162,126052,431.0,0.17680005077269698,1.0,1.0,1.0
chr13,mon,12968162,13033845,65683,295.0,0.28791315865596884,1.0,1.0,1.0
chr13,mon,13038321,13111485,73164,417.0,0.19758351101634683,1.0,1.0,1.0
chr13,mon,13119194,13172020,52826,315.0,0.24009010714420928,1.0,1.0,1.0
chr13,hsat3,13172020,13243683,71663,213.0,0.37380517142737535,1.0,1.0,1.0
chr13,mon,13243683,13322481,78798,322.0,0.2297266428081931,1.0,1.0,1.0
chr13,hsat3,13322481,13410442,87961,238.0,0.32233603528836646,1.0,1.0,1.0
chr13,ct,13410442,13433611,23169,581.0,0.12085113729552419,1.0,1.0,1.0
chr13,ct,13444624,13694067,249443,134.0,0.5241598280970001,1.0,1.0,1.0
chr13,ct,13700989,13923837,222848,145.0,0.5120575459506032,1.0,1.0,1.0
chr13,hsat1A,13940927,15547593,1606666,1187.0,0.07408260335377732,0.9705582865387081,1.0,1.0
chr14,censat,0,225617,225617,1825.0,0.08280847631162545,0.9415469578976762,1.0,1.0
chr14,ct,234807,260746,25939,267.0,0.31165426577740085,1.0,1.0,1.0
chr14,censat,260746,632814,372068,431.0,0.156210692669082,0.9756711138824086,1.0,1.0
chr14,ct,632814,740363,107549,138.0,0.534537745585733,1.0,1.0,1.0
chr14,hsat3,740363,763497,23134,158.0,0.4814990922451802,1.0,1.0,1.0
chr14,bsat,763497,965061,201564,352.0,0.2868022067432677,1.0,1.0,1.0
chr14,hsat3,965061,1246654,281593,193.0,0.4256568877777502,1.0,1.0,1.0
chr14,hsat1A,1246654,1313023,66369,283.0,0.3902424324609381,1.0,1.0,1.0
chr14,bsat,1313023,1339985,26962,281.0,0.2871077813218604,1.0,1.0,1.0
chr14,hsat3,1339985,1453417,113432,177.0,0.43510649552154596,1.0,1.0,1.0
chr14,ct,1453417,1565957,112540,352.0,0.2147769681890883,1.0,1.0,1.0
chr14,ct,1572164,1625478,53314,335.0,0.23348463818134074,1.0,1.0,1.0
chr14,ct,1634388,1658892,24504,227.0,0.352554684949396,1.0,1.0,1.0
chr14,censat,1682156,1755893,73737,228.0,0.38756662191301516,1.0,1.0,1.0
chr14,ct,1755893,1779757,23864,241.0,0.3172561180020114,1.0,1.0,1.0
chr14,ct,1799664,1969079,169415,2078.0,0.117356786589145,0.9481923088274355,1.0,1.0
chr14,ct,1981517,2099537,118020,523.0,0.21890357566514151,0.8515505846466701,1.0,1.0
chr14,rDNA,2099537,2817811,718274,238809.5,0.009091238162595333,0.16968454935024796,0.3067464505188828,1.0
chr14,ct,2825763,2860329,34566,96.0,0.6899554475496152,1.0,1.0,1.0
chr14,ct,2876512,2900972,24460,76.0,0.8021668029435813,1.0,1.0,1.0
chr14,ct,2909807,2955856,46049,75.0,0.8059458403005494,1.0,1.0,1.0
chr14,ct,2962147,3069165,107018,256.0,0.2939131734848343,1.0,1.0,1.0
chr14,hsat3,3069165,3102244,33079,237.0,0.3312071102512168,1.0,1.0,1.0
chr14,bsat,3102244,3271404,169160,294.0,0.3069697327973516,1.0,1.0,1.0
chr14,hsat3,3277915,3371795,93880,178.0,0.43894333191308055,1.0,1.0,1.0
chr14,ct,3371795,3421271,49476,354.0,0.22562454523405287,1.0,1.0,1.0
chr14,ct,3448003,3616871,168868,326.0,0.2536004453182367,1.0,1.0,1.0
chr14,hsat1B,3616871,3699683,82812,70.0,0.7338187702265372,1.0,1.0,1.0
chr14,hsat3,3699683,3903531,203848,69.0,0.7432106275263922,1.0,1.0,1.0
chr14,ct,3903531,3943532,40001,94.0,0.7167070823229419,1.0,1.0,1.0
chr14,ct,3961776,3981870,20094,110.0,0.6269035532994924,1.0,1.0,1.0
chr14,ct,3996350,4020781,24431,115.0,0.6242069501862388,1.0,1.0,1.0
chr14,ct,4035909,4086229,50320,96.0,0.7055047694753577,1.0,1.0,1.0
chr14,bsat,4086229,4358753,272524,39.0,0.9556039101143385,1.0,1.0,1.0
chr14,ct,4377796,4526458,148662,40.0,0.9028938128102676,1.0,1.0,1.0
chr14,censat,4526458,4551414,24956,28.0,0.9971549927873057,1.0,1.0,1.0
chr14,ct,4551414,4662667,111253,48.0,0.9356961160597916,1.0,1.0,1.0
chr14,hsat3,4662667,4924998,262331,75.0,0.688736748611487,1.0,1.0,1.0
chr14,ct,4924998,4974093,49095,62.0,0.8764436296975252,1.0,1.0,1.0
chr14,bsat,4974093,5419772,445679,48.0,0.8323524330291533,0.9973164542192924,1.0,1.0
chr14,hsat3,5419772,5593325,173553,35.0,0.9733453181448894,1.0,1.0,1.0
chr14,ct,5593325,5699702,106377,167.0,0.46753527548248214,1.0,1.0,1.0
chr14,ct,5738656,5791601,52945,423.0,0.1692511096420814,1.0,1.0,1.0
chr14,ct,5800474,5824968,24494,334.0,0.23026047195231486,1.0,1.0,1.0
chr14,ct,5846873,5886566,39693,154.0,0.49064066712014714,1.0,1.0,1.0
chr14,hsat1A,5899451,5928925,29474,43.0,0.949820180498066,1.0,1.0,1.0
chr14,ct,5939240,5997299,58059,172.0,0.451092853821113,1.0,1.0,1.0
chr14,ct,6008372,6031537,23165,169.0,0.4567666738614289,1.0,1.0,1.0
chr14,hsat3,6031537,6118542,87005,97.0,0.6745704269869548,1.0,1.0,1.0
chr14,mon,6118542,6199662,81120,141.0,0.5235207100591716,1.0,1.0,1.0
chr14,hsat3,6199662,6260270,60608,100.0,0.6522406282998944,1.0,1.0,1.0
chr14,mon,6260270,6314167,53897,161.0,0.47559233352505703,1.0,1.0,1.0
chr14,mon,6321911,6397784,75873,138.0,0.528923332410739,1.0,1.0,1.0
chr14,mon,6402296,6442583,40287,122.0,0.56854568471219,1.0,1.0,1.0
chr14,ct,6442583,6559657,117074,142.0,0.5222338008439107,1.0,1.0,1.0
chr14,ct,6565138,6666811,101673,268.0,0.30029604713149016,1.0,1.0,1.0
chr14,ct,6682281,6960007,277726,296.0,0.2795453072452705,1.0,1.0,1.0
chr14,censat,6960007,6988409,28402,145.0,0.5134849658474755,1.0,1.0,1.0
chr14,ct,6988409,7205438,217029,253.0,0.32196618885033795,1.0,1.0,1.0
chr14,ct,7222087,7342312,120225,278.0,0.30783114992721977,1.0,1.0,1.0
chr14,hsat3,7342312,7439251,96939,135.0,0.5396795923209441,1.0,1.0,1.0
chr14,hor,7445759,7524140,78381,207.0,0.38030900345747054,1.0,1.0,1.0
chr14,mon,7524140,7614054,89914,180.0,0.4424894899570701,1.0,1.0,1.0
chr14,ct,7614054,7642456,28402,210.0,0.37652278008590945,1.0,1.0,1.0
chr14,ct,7651614,7730544,78930,188.0,0.40924870138097047,1.0,1.0,1.0
chr14,ct,7735996,7861537,125541,229.0,0.34502672433706916,1.0,1.0,1.0
chr14,mon,7861537,7921487,59950,246.0,0.32291909924937445,1.0,1.0,1.0
chr14,mon,7933137,7980600,47463,193.0,0.4058108421296589,1.0,1.0,1.0
chr14,hsat3,7980600,8005258,24658,123.0,0.5901938518939087,1.0,1.0,1.0
chr14,mon,8005258,8146948,141690,189.0,0.41766532571105935,1.0,1.0,1.0
chr14,hor,8146948,8220303,73355,477.0,0.22209801649512645,1.0,1.0,1.0
chr14,hsat3,8233032,8315216,82184,91.0,0.6698870826438236,1.0,1.0,1.0
chr14,ct,8315216,8336545,21329,153.0,0.4924281494678607,1.0,1.0,1.0
chr14,ct,8337273,8362704,25431,127.0,0.5782706146042232,1.0,1.0,1.0
chr14,ct,8384690,8432916,48226,56.0,0.8525276821631486,1.0,1.0,1.0
chr14,ct,8434937,8477008,42071,74.0,0.8015022224335052,1.0,1.0,1.0
chr14,ct,8477831,8604781,126950,138.0,0.5338400945254037,1.0,1.0,1.0
chr14,ct,8606018,8649801,43783,201.0,0.393097777676267,1.0,1.0,1.0
chr14,ct,8651571,8700904,49333,174.0,0.44568544382056635,1.0,1.0,1.0
chr14,ct,8723407,8750209,26802,215.0,0.35702559510484294,1.0,1.0,1.0
chr14,ct,8751019,8772611,21592,143.0,0.5193590218599481,1.0,1.0,1.0
chr14,hsat3,8772611,8881505,108894,76.0,0.7520708211655371,1.0,1.0,1.0
chr14,mon,8881505,9059262,177757,136.0,0.5368564951028651,1.0,1.0,1.0
chr14,hsat3,9059262,9216586,157324,132.0,0.5449263939386235,1.0,1.0,1.0
chr14,mon,9216586,9276576,59990,140.0,0.5294882480413402,1.0,1.0,1.0
chr14,mon,9288919,9410459,121540,157.0,0.4842685535626131,1.0,1.0,1.0
chr14,ct,9410459,9532583,122124,171.0,0.453285185549114,1.0,1.0,1.0
chr14,ct,9565812,9641816,76004,255.0,0.3236013894005579,1.0,1.0,1.0
chr14,ct,9650986,9680573,29587,44.0,0.8547672964477642,1.0,1.0,1.0
chr14,mon,9680573,9712130,31557,34.0,0.9974015273948728,1.0,1.0,1.0
chr14,mon,9727541,9761816,34275,289.0,0.337417943107221,1.0,1.0,1.0
chr14,hsat3,9761816,9782799,20983,203.0,0.3977982176047276,1.0,1.0,1.0
chr14,mon,9782799,9857282,74483,301.0,0.28688425546769064,1.0,1.0,1.0
chr14,ct,9857282,9885813,28531,186.0,0.4355262696715853,1.0,1.0,1.0
chr14,ct,9894992,9968887,73895,304.0,0.27981595507138507,1.0,1.0,1.0
chr14,ct,9974308,10067391,93083,373.0,0.23056841743390308,1.0,1.0,1.0
chr14,dhor,10067391,10092000,24609,212.0,0.39160469746840587,1.0,1.0,1.0
chr15,ct,6007,69641,63634,562.0,0.14132382059905083,1.0,1.0,1.0
chr15,censat,69641,161466,91825,2723.0,0.11811598148652327,0.7955676558671386,1.0,1.0
chr15,ct,191464,331905,140441,639.0,0.11983679979493168,1.0,1.0,1.0
chr15,hsat3,331905,354553,22648,447.0,0.17016955139526668,1.0,1.0,1.0
chr15,bsat,354553,1097810,743257,280.0,0.3308169314247965,0.911289096503632,1.0,1.0
chr15,hsat3,1097810,1236149,138339,154.0,0.49366411496396534,1.0,1.0,1.0
chr15,hsat1A,1236149,1533887,297738,291.0,0.31071949163358387,1.0,1.0,1.0
chr15,bsat,1533887,1560853,26966,761.0,0.07034784543499221,1.0,1.0,1.0
chr15,hsat3,1560853,1664622,103769,432.0,0.16788250826354692,1.0,1.0,1.0
chr15,ct,1664622,1775887,111265,414.0,0.20267829056756392,1.0,1.0,1.0
chr15,ct,1783533,1836850,53317,282.0,0.2803233490256391,1.0,1.0,1.0
chr15,ct,1845474,1870275,24801,327.0,0.23499052457562195,1.0,1.0,1.0
chr15,censat,1870275,2058686,188411,896.0,0.1558720032269878,1.0,1.0,1.0
chr15,censat,2075682,2164545,88863,146.0,0.5080967331735368,1.0,1.0,1.0
chr15,ct,2164545,2188255,23710,117.0,0.6156895824546604,1.0,1.0,1.0
chr15,ct,2208273,2375935,167662,506.0,0.30574012000334005,0.8779150910760936,1.0,1.0
chr15,ct,2388410,2506442,118032,4682.0,0.07309034838010031,0.7191439609597398,1.0,1.0
chr15,rDNA,2506442,4707485,2201043,345605.0,0.003487437546654018,0.04248712996520286,0.16524393208129054,1.0
chr15,ct,4715610,4748438,32828,2091.0,0.046667478981357376,1.0,1.0,1.0
chr15,ct,4764748,4789157,24409,3089.0,0.041050432217624645,1.0,1.0,1.0
chr15,ct,4797985,4843967,45982,1713.0,0.04266887042755861,1.0,1.0,1.0
chr15,ct,4846912,4953627,106715,1503.0,0.03969451342360493,1.0,1.0,1.0
chr15,hsat3,4953627,4987006,33379,1242.0,0.05925881542287067,1.0,1.0,1.0
chr15,bsat,4987006,5151806,164800,1389.0,0.04828883495145631,0.9801456310679612,1.0,1.0
chr15,hsat3,5158321,5251163,92842,413.0,0.19179897029361712,1.0,1.0,1.0
chr15,ct,5251163,5300649,49486,1129.0,0.05177221840520551,1.0,1.0,1.0
chr15,ct,5327443,5527068,199625,207.0,0.40630181590482156,1.0,1.0,1.0
chr15,hsat1B,5527068,5971199,444131,1529.0,0.08109093938500127,1.0,1.0,1.0
chr15,hsat3,5975856,13968808,7992952,1073.0,0.07442944734310927,0.9817243991956914,1.0,1.0
chr15,mon,13968808,14132447,163639,60.0,0.8906250954845728,1.0,1.0,1.0
chr15,hsat3,14132447,14190845,58398,38.0,0.9789376348505086,1.0,1.0,1.0
chr15,mon,14190845,14245420,54575,55.0,0.903307375171782,1.0,1.0,1.0
chr15,mon,14256873,14347478,90605,52.0,0.9412504828651841,1.0,1.0,1.0
chr15,mon,14359426,14431199,71773,58.0,0.8624134423808396,1.0,1.0,1.0
chr15,ct,14431199,14556514,125315,90.0,0.7288034153932091,1.0,1.0,1.0
chr15,ct,14561972,14640870,78898,81.0,0.7587771553144567,1.0,1.0,1.0
chr15,ct,14650039,14674291,24252,31.0,0.9947633184891967,1.0,1.0,1.0
chr15,mon,14674291,14750851,76560,83.0,0.5447753396029258,1.0,1.0,1.0
chr15,hsat3,14750851,14776838,25987,29.0,0.9979989994997499,1.0,1.0,1.0
chr15,ct,14776838,14924602,147764,32.0,0.9822148831921171,1.0,1.0,1.0
chr15,mon,14938892,14990182,51290,40.0,0.8077013062975239,1.0,1.0,1.0
chr15,ct,14990182,15061026,70844,45.0,0.9598413415391565,1.0,1.0,1.0
chr15,ct,15069957,15098161,28204,47.0,0.9353637781874912,1.0,1.0,1.0
chr15,mon,15098161,15219741,121580,52.0,0.9143280144760652,1.0,1.0,1.0
chr15,hsat3,15219741,15402797,183056,28.0,0.8774090988549952,1.0,1.0,1.0
chr15,hor,15415981,15692696,276715,2198.0,0.06092550096669859,0.9958296442187811,1.0,1.0
chr15,mon,15692696,15764130,71434,40.0,0.9778676820561637,1.0,1.0,1.0
chr15,mon,15782418,15828677,46259,33.0,0.9955684299271493,1.0,1.0,1.0
chr15,hsat3,15828677,15874563,45886,29.0,1.0,1.0,1.0,1.0
chr15,mon,15874563,15996634,122071,36.0,0.9906202128269613,1.0,1.0,1.0
chr15,hor,15996634,16555605,558971,2138.0,0.03435777526920001,0.9894126886725787,1.0,1.0
chr15,ct,16555605,16606151,50546,65.0,0.8288094013373957,1.0,1.0,1.0
chr15,ct,16608673,16664460,55787,67.0,0.8479215587860971,1.0,1.0,1.0
chr21,ct,2999,65354,62355,632.0,0.11161895597786865,1.0,1.0,1.0
chr21,censat,65354,223691,158337,1154.0,0.11215319224186387,0.9993684356783317,1.0,1.0
chr21,ct,253690,293068,39378,256.0,0.36241048301081824,1.0,1.0,1.0
chr21,ct,294301,314493,20192,41.0,0.9644413629160064,1.0,1.0,1.0
chr21,ct,334605,446242,111637,131.0,0.5452045468796187,1.0,1.0,1.0
chr21,hsat3,446242,468879,22637,233.0,0.3511949463268101,1.0,1.0,1.0
chr21,bsat,468879,1117360,648481,261.0,0.33273141387334404,1.0,1.0,1.0
chr21,hsat3,1117360,1241002,123642,223.0,0.37496967050031543,1.0,1.0,1.0
chr21,hsat1A,1241002,1953075,712073,307.0,0.2720507588407368,0.9963458802678938,1.0,1.0
chr21,bsat,1953075,1979970,26895,889.0,0.08908719092768172,1.0,1.0,1.0
chr21,hsat3,1979970,2132547,152577,531.0,0.1629210169291571,1.0,1.0,1.0
chr21,ct,2132547,2245842,113295,364.0,0.2295246921752946,1.0,1.0,1.0
chr21,ct,2252036,2305364,53328,284.0,0.29292304230423044,1.0,1.0,1.0
chr21,ct,2314274,2341094,26820,220.0,0.3639075316927666,1.0,1.0,1.0
chr21,censat,2342952,2372001,29049,460.0,0.2236565802609384,1.0,1.0,1.0
chr21,ct,2400429,2472263,71834,239.0,0.3585767185455355,1.0,1.0,1.0
chr21,censat,2472263,2534060,61797,198.0,0.40934025923588524,1.0,1.0,1.0
chr21,ct,2534060,2556159,22099,56.0,0.8140639847956921,1.0,1.0,1.0
chr21,ct,2575055,2692050,116995,84.0,0.6824479678618744,1.0,1.0,1.0
chr21,censat,2692050,2762174,70124,175.0,0.45520791740345673,1.0,1.0,1.0
chr21,ct,2762174,2785899,23725,222.0,0.3344573234984194,1.0,1.0,1.0
chr21,ct,2805667,2976159,170492,204.0,0.4239201839382493,0.9637226380123407,1.0,1.0
chr21,ct,2988590,3108298,119708,2386.0,0.09479734019447322,0.8559578307214222,1.0,1.0
chr21,rDNA,3108298,5612715,2504417,564793.0,0.006136358282187032,0.05640953563244459,0.12882159800065246,0.739744219912259
chr21,ct,5618121,5652611,34490,111.0,0.6334879675268194,1.0,1.0,1.0
chr21,ct,5673372,5719396,46024,158.0,0.4835303320006953,1.0,1.0,1.0
chr21,ct,5724774,5832026,107252,157.0,0.480028344459777,1.0,1.0,1.0
chr21,hsat3,5832026,6023807,191781,39.0,0.9674681016367628,1.0,1.0,1.0
chr21,bsat,6023807,6334841,311034,44.0,0.9443244146942135,1.0,1.0,1.0
chr21,ct,6334841,6383977,49136,62.0,0.8774829045913384,1.0,1.0,1.0
chr21,hsat3,6383977,6494491,110514,34.0,0.8560815824239463,1.0,1.0,1.0
chr21,ct,6494491,6533459,38968,100.0,0.702935742147403,1.0,1.0,1.0
chr21,ct,6549713,6574818,25105,131.0,0.5602867954590719,1.0,1.0,1.0
chr21,ct,6624776,6665005,40229,71.0,0.8209749185910662,1.0,1.0,1.0
chr21,hsat3,6665005,6853060,188055,145.0,0.5113025444683736,1.0,1.0,1.0
chr21,hsat1B,6859956,6892025,32069,97.0,0.6247466400573762,1.0,1.0,1.0
chr21,ct,6903594,7042262,138668,85.0,0.7417500793261603,1.0,1.0,1.0
chr21,ct,7052233,7101753,49520,84.0,0.7292003231017771,1.0,1.0,1.0
chr21,hsat3,7101753,7390654,288901,44.0,0.8743791125679731,1.0,1.0,1.0
chr21,ct,7390654,7497101,106447,187.0,0.42535722002498894,1.0,1.0,1.0
chr21,ct,7536072,7589024,52952,447.0,0.1722503399305031,1.0,1.0,1.0
chr21,ct,7597823,7622978,25155,383.0,0.1935599284436494,1.0,1.0,1.0
chr21,ct,7644359,7684062,39703,254.0,0.2930257159408609,1.0,1.0,1.0
chr21,hsat3,7684062,7729200,45138,107.0,0.673778191324383,1.0,1.0,1.0
chr21,hsat1A,7729200,7777417,48217,56.0,0.8340834145633282,1.0,1.0,1.0
chr21,ct,7794709,7986294,191585,561.0,0.16091030091082287,1.0,1.0,1.0
chr21,ct,8014655,8046431,31776,1427.5,0.04094284994964753,1.0,1.0,1.0
chr21,ct,8048414,8073769,25355,3103.0,0.018733977519226976,0.7760205087753894,1.0,1.0
chr21,ct,8074497,8095838,21341,1645.0,0.028677194133358324,1.0,1.0,1.0
chr21,hsat3,8095838,8168711,72873,721.0,0.09631825230194997,0.9582973117615577,1.0,1.0
chr21,hor,8180694,8253498,72804,867.0,0.07462502060326355,0.9960441733970661,1.0,1.0
chr21,mon,8253498,8396079,142581,1814.0,0.060898717220387005,0.9417874751895414,1.0,1.0
chr21,hsat3,8396079,8432134,36055,288.0,0.2681458882263209,1.0,1.0,1.0
chr21,mon,8432134,8479566,47432,637.5,0.11197082138640581,1.0,1.0,1.0
chr21,mon,8491868,8551812,59944,548.0,0.14134859201921793,1.0,1.0,1.0
chr21,ct,8551812,8677265,125453,599.0,0.1092122149330825,1.0,1.0,1.0
chr21,ct,8682709,8761635,78926,287.0,0.27084864303271416,1.0,1.0,1.0
chr21,ct,8770801,8799240,28439,225.0,0.36189739442315133,1.0,1.0,1.0
chr21,mon,8799240,8882331,83091,327.0,0.2424691001432165,1.0,1.0,1.0
chr21,hsat3,8904725,9022780,118055,392.0,0.219736563466181,1.0,1.0,1.0
chr21,ct,9022780,9143157,120377,569.0,0.15409920499763244,1.0,1.0,1.0
chr21,ct,9159761,9375566,215805,305.0,0.2834132666064271,1.0,1.0,1.0
chr21,censat,9375566,9453313,77747,355.0,0.2928473124364927,1.0,1.0,1.0
chr21,ct,9453313,9731827,278514,354.0,0.2331301119512843,1.0,1.0,1.0
chr21,ct,9748432,9850293,101861,302.0,0.28171724212407107,1.0,1.0,1.0
chr21,ct,9855710,9981828,126118,418.0,0.18343138965096178,1.0,1.0,1.0
chr21,mon,9981828,10047043,65215,525.0,0.1898029594418462,1.0,1.0,1.0
chr21,mon,10053307,10124674,71367,453.0,0.19317051298219065,1.0,1.0,1.0
chr21,mon,10132406,10184249,51843,321.0,0.23328125301390737,1.0,1.0,1.0
chr21,hsat3,10184249,10307662,123413,1919.0,0.13037524409908194,0.9188578188683526,1.0,1.0
chr21,mon,10307662,10387680,80018,313.0,0.23890874553225525,1.0,1.0,1.0
chr21,hsat3,10387680,10475882,88202,231.0,0.3353438697535203,1.0,1.0,1.0
chr21,ct,10475882,10499051,23169,629.0,0.12810220553325563,1.0,1.0,1.0
chr21,ct,10510072,10801147,291075,247.0,0.3677299665034785,1.0,1.0,1.0
chr21,hsat1A,10818159,10962853,144694,175.0,0.4521058233237038,1.0,1.0,1.0
chr22,ct,4578,67032,62454,391.0,0.21606302238447497,1.0,1.0,1.0
chr22,censat,67032,226744,159712,1684.0,0.05286390502905229,0.9921358445201363,1.0,1.0
chr22,ct,251879,277758,25879,222.0,0.3566598400247305,1.0,1.0,1.0
chr22,censat,277758,349847,72089,340.0,0.1938159774722912,1.0,1.0,1.0
chr22,ct,349847,459516,109669,707.0,0.1057637071551669,1.0,1.0,1.0
chr22,hsat3,459516,482112,22596,504.0,0.12179146751637458,1.0,1.0,1.0
chr22,bsat,482112,2388000,1905888,245.0,0.33779372135193675,0.9929806998102721,1.0,1.0
chr22,hsat3,2388000,2615080,227080,106.0,0.6292584111326405,1.0,1.0,1.0
chr22,hsat1A,2615080,3502665,887585,373.0,0.23434149968735388,0.9974334852436668,1.0,1.0
chr22,bsat,3502665,3529630,26965,722.0,0.0920081587242722,1.0,1.0,1.0
chr22,hsat3,3529630,3634820,105190,440.0,0.1676870424945337,1.0,1.0,1.0
chr22,ct,3634820,3746133,111313,422.0,0.20731630627150469,1.0,1.0,1.0
chr22,ct,3753771,3807093,53322,753.0,0.0861183001387795,1.0,1.0,1.0
chr22,ct,3815993,3841139,25146,182.0,0.4450409607889923,1.0,1.0,1.0
chr22,censat,3844392,4128732,284340,1803.0,0.06054371527045087,0.936632200886263,1.0,1.0
chr22,ct,4157833,4229666,71833,239.0,0.3573148831317083,1.0,1.0,1.0
chr22,censat,4229666,4291278,61612,198.0,0.40774524443290266,1.0,1.0,1.0
chr22,ct,4291278,4312412,21134,73.0,0.7973880950127756,1.0,1.0,1.0
chr22,ct,4314288,4409321,95033,104.0,0.6294234634284933,1.0,1.0,1.0
chr22,censat,4409321,4448073,38752,503.0,0.20628612716763006,1.0,1.0,1.0
chr22,ct,4448073,4471767,23694,118.0,0.6237444078669705,1.0,1.0,1.0
chr22,ct,4491801,4661600,169799,1572.0,0.11215613755086896,0.8555586310873444,1.0,1.0
chr22,ct,4674054,4793794,119740,314.0,0.3092199766160013,1.0,1.0,1.0
chr22,rDNA,4793794,5720650,926856,249526.5,0.005505709624796085,0.22468754585394063,0.3386739687718481,1.0
chr22,ct,5728749,5760141,31392,100.0,0.6812882262996942,1.0,1.0,1.0
chr22,ct,5781722,5827712,45990,131.0,0.5375951293759513,1.0,1.0,1.0
chr22,ct,5833506,5940462,106956,134.0,0.5484030816410487,1.0,1.0,1.0
chr22,hsat3,5940462,6011423,70961,577.0,0.3137216217358831,1.0,1.0,1.0
chr22,bsat,6011423,6237353,225930,32.0,0.9886911875359624,1.0,1.0,1.0
chr22,ct,6237353,6340074,102721,51.0,0.9432540571061419,1.0,1.0,1.0
chr22,ct,6343722,6393557,49835,47.0,0.9426106150295976,1.0,1.0,1.0
chr22,ct,6419427,6452910,33483,48.0,0.9621300361377415,1.0,1.0,1.0
chr22,ct,6478601,6530478,51877,89.0,0.7285887773001523,1.0,1.0,1.0
chr22,ct,6550173,6724442,174269,188.0,0.4158111884500399,1.0,1.0,1.0
chr22,hsat1B,6724442,7097707,373265,520.0,0.21170214190990316,1.0,1.0,1.0
