chrom,start,end,fam,kb
chr14,1630538,1634388,censat,3.85
chr14,1634388,1658892,ct,24.504
chr14,1658892,1662773,gsat,3.881
chr14,1662773,1663585,ct,0.812
chr14,1663585,1665185,censat,1.6
chr14,1665185,1682156,ct,16.971
chr14,1682156,1755893,censat,73.737
chr14,1755893,1779757,ct,23.864
chr14,1779757,1782280,gsat,2.523
chr14,1782280,1787439,ct,5.159
chr14,1787439,1799664,bsat,12.225
chr14,1799664,1969079,ct,169.415
chr14,1969079,1981517,bsat,12.438
chr14,1981517,2099537,ct,118.02
chr14,2099537,2817811,rDNA,718.274
chr14,2817811,2825763,censat,7.952
chr14,2825763,2860329,ct,34.566
chr14,2860329,2869347,censat,9.018
chr14,2869347,2876512,gsat,7.165
chr14,2876512,2900972,ct,24.46
chr14,2900972,2904824,censat,3.852
chr14,2904824,2907757,ct,2.933
chr14,2907757,2909807,censat,2.05
chr14,2909807,2955856,ct,46.049
chr14,2955856,2962147,censat,6.291
chr14,2962147,3069165,ct,107.018
chr14,3069165,3102244,hsat3,33.079
chr14,3102244,3271404,bsat,169.16
chr14,3271404,3277915,hsat1A,6.511
chr14,3277915,3371795,hsat3,93.88
chr14,3371795,3421271,ct,49.476
chr14,3421271,3436747,bsat,15.476
chr14,3436747,3448003,hsat3,11.256
chr14,3448003,3616871,ct,168.868
chr14,3616871,3699683,hsat1B,82.812
chr14,3699683,3903531,hsat3,203.848
chr14,3903531,3943532,ct,40.001
chr14,3943532,3948059,censat,4.527
chr14,3948059,3959672,ct,11.613
chr14,3959672,3961776,censat,2.104
chr14,3961776,3981870,ct,20.094
chr14,3981870,3983236,censat,1.366
chr14,3983236,3993446,ct,10.21
chr14,3993446,3996350,censat,2.904
chr14,3996350,4020781,ct,24.431
chr14,4020781,4023620,gsat,2.839
chr14,4023620,4035909,censat,12.289
chr14,4035909,4086229,ct,50.32
chr14,4086229,4358753,bsat,272.524
chr14,4358753,4374370,ct,15.617
chr14,4374370,4376964,bsat,2.594
chr14,4376964,4377796,censat,0.832
chr14,4377796,4526458,ct,148.662
chr14,4526458,4551414,censat,24.956
chr14,4551414,4662667,ct,111.253
chr14,4662667,4924998,hsat3,262.331
chr14,4924998,4974093,ct,49.095
chr14,4974093,5419772,bsat,445.679
chr14,5419772,5593325,hsat3,173.553
chr14,5593325,5699702,ct,106.377
chr14,5699702,5705560,censat,5.858
chr14,5705560,5718045,ct,12.485
chr14,5718045,5720181,censat,2.136
chr14,5720181,5737307,ct,17.126
chr14,5737307,5738656,censat,1.349
chr14,5738656,5791601,ct,52.945
chr14,5791601,5793723,censat,2.122
chr14,5793723,5796647,ct,2.924
chr14,5796647,5800474,censat,3.827
chr14,5800474,5824968,ct,24.494
chr14,5824968,5828980,gsat,4.012
chr14,5828980,5835013,censat,6.033
chr14,5835013,5841450,ct,6.437
chr14,5841450,5846873,censat,5.423
chr14,5846873,5886566,ct,39.693
chr14,5886566,5899451,hsat3,12.885
chr14,5899451,5928925,hsat1A,29.474
chr14,5928925,5939240,hsat1B,10.315
chr14,5939240,5997299,ct,58.059
chr14,5997299,5997583,censat,0.284
chr14,5997583,6007867,ct,10.284
chr14,6007867,6008372,censat,0.505
chr14,6008372,6031537,ct,23.165
chr14,6031537,6118542,hsat3,87.005
chr14,6118542,6199662,mon,81.12
chr14,6199662,6260270,hsat3,60.608
chr14,6260270,6314167,mon,53.897
chr14,6314167,6321911,hsat3,7.744
chr14,6321911,6397784,mon,75.873
chr14,6397784,6402296,hsat3,4.512
chr14,6402296,6442583,mon,40.287
chr14,6442583,6559657,ct,117.074
chr14,6559657,6561849,bsat,2.192
chr14,6561849,6565138,censat,3.289
chr14,6565138,6666811,ct,101.673
chr14,6666811,6675927,censat,9.116
chr14,6675927,6680374,gsat,4.447
chr14,6680374,6682281,censat,1.907
chr14,6682281,6960007,ct,277.726
chr14,6960007,6988409,censat,28.402
chr14,6988409,7205438,ct,217.029
chr14,7205438,7206435,censat,0.997
chr14,7206435,7220145,ct,13.71
chr14,7220145,7222087,censat,1.942
chr14,7222087,7342312,ct,120.225
chr14,7342312,7439251,hsat3,96.939
chr14,7439251,7445759,mon,6.508
chr14,7445759,7524140,hor,78.381
chr14,7524140,7614054,mon,89.914
chr14,7614054,7642456,ct,28.402
chr14,7642456,7650083,bsat,7.627
chr14,7650083,7651614,censat,1.531
chr14,7651614,7730544,ct,78.93
chr14,7730544,7733835,censat,3.291
chr14,7733835,7735996,bsat,2.161
chr14,7735996,7861537,ct,125.541
chr14,7861537,7921487,mon,59.95
chr14,7921487,7933137,hsat3,11.65
chr14,7933137,7980600,mon,47.463
chr14,7980600,8005258,hsat3,24.658
chr14,8005258,8146948,mon,141.69
chr14,8146948,8220303,hor,73.355
chr14,8220303,8233032,mon,12.729
chr14,8233032,8315216,hsat3,82.184
chr14,8315216,8336545,ct,21.329
chr14,8336545,8337273,censat,0.728
chr14,8337273,8362704,ct,25.431
chr14,8362704,8364470,censat,1.766
chr14,8364470,8381647,ct,17.177
chr14,8381647,8384690,censat,3.043
chr14,8384690,8432916,ct,48.226
chr14,8432916,8434937,censat,2.021
chr14,8434937,8477008,ct,42.071
chr14,8477008,8477831,censat,0.823
chr14,8477831,8604781,ct,126.95
chr14,8604781,8606018,censat,1.237
chr14,8606018,8649801,ct,43.783
chr14,8649801,8651571,censat,1.77
chr14,8651571,8700904,ct,49.333
chr14,8700904,8704045,censat,3.141
chr14,8704045,8720107,ct,16.062
chr14,8720107,8723407,censat,3.3
chr14,8723407,8750209,ct,26.802
chr14,8750209,8751019,censat,0.81
chr14,8751019,8772611,ct,21.592
chr14,8772611,8881505,hsat3,108.894
chr14,8881505,9059262,mon,177.757
chr14,9059262,9216586,hsat3,157.324
chr14,9216586,9276576,mon,59.99
chr14,9276576,9288919,hsat3,12.343
chr14,9288919,9410459,mon,121.54
chr14,9410459,9532583,ct,122.124
chr14,9532583,9534775,bsat,2.192
chr14,9534775,9537974,censat,3.199
chr14,9537974,9546814,ct,8.84
chr14,9546814,9565812,mon,18.998
chr14,9565812,9641816,ct,76.004
chr14,9641816,9643249,censat,1.433
chr14,9643249,9650986,bsat,7.737
chr14,9650986,9680573,ct,29.587
chr14,9680573,9712130,mon,31.557
chr14,9712130,9727541,hsat1A,15.411
chr14,9727541,9761816,mon,34.275
chr14,9761816,9782799,hsat3,20.983
chr14,9782799,9857282,mon,74.483
chr14,9857282,9885813,ct,28.531
chr14,9885813,9893448,bsat,7.635
chr14,9893448,9894992,censat,1.544
chr14,9894992,9968887,ct,73.895
chr14,9968887,9971447,censat,2.56
chr14,9971447,9974308,bsat,2.861
chr14,9974308,10067391,ct,93.083
chr14,10067391,10092112,dhor,24.721
chr14,10092112,12708411,hor,2616.299
chr14,12708411,12740173,dhor,31.762
chr14,12740173,12783540,mon,43.367
chr14,12783540,12923915,ct,140.375
chr14,12923915,13047417,censat,123.502
chr14,13047417,13088420,ct,41.003
chr14,13088420,13094623,censat,6.203
chr14,13094623,13355135,ct,260.512
chr14,13355135,13356143,mon,1.008
chr14,13356143,13470156,ct,114.013
chr14,13470156,13472675,gsat,2.519
chr14,13472675,13483436,censat,10.761
chr14,13483436,13544095,ct,60.659
chr14,13544095,13553224,censat,9.129
chr14,13553224,13556145,gsat,2.921
chr14,13556145,13670135,ct,113.99
chr14,13670135,13671143,mon,1.008
chr14,13671143,17708240,ct,4037.097
chr15,0,6007,censat,6.007
chr15,6007,69641,ct,63.634
chr15,69641,161466,censat,91.825
chr15,161466,161973,ct,0.507
chr15,161973,164114,censat,2.141
chr15,164114,164142,ct,0.028
chr15,164142,170289,gsat,6.147
chr15,170289,187614,ct,17.325
chr15,187614,191464,censat,3.85
chr15,191464,331905,ct,140.441
chr15,331905,354553,hsat3,22.648
chr15,354553,1097810,bsat,743.257
chr15,1097810,1236149,hsat3,138.339
chr15,1236149,1533887,hsat1A,297.738
chr15,1533887,1560853,bsat,26.966
chr15,1560853,1664622,hsat3,103.769
chr15,1664622,1775887,ct,111.265
chr15,1775887,1778560,censat,2.673
chr15,1778560,1782164,ct,3.604
chr15,1782164,1783533,censat,1.369
chr15,1783533,1836850,ct,53.317
chr15,1836850,1838985,censat,2.135
chr15,1838985,1841907,ct,2.922
chr15,1841907,1845474,censat,3.567
chr15,1845474,1870275,ct,24.801
chr15,1870275,2058686,censat,188.411
chr15,2058686,2075682,ct,16.996
chr15,2075682,2164545,censat,88.863
chr15,2164545,2188255,ct,23.71
chr15,2188255,2190896,gsat,2.641
chr15,2190896,2196050,ct,5.154
chr15,2196050,2208273,bsat,12.223
chr15,2208273,2375935,ct,167.662
chr15,2375935,2388410,bsat,12.475
chr15,2388410,2506442,ct,118.032
chr15,2506442,4707485,rDNA,2201.043
chr15,4707485,4715610,censat,8.125
chr15,4715610,4748438,ct,32.828
chr15,4748438,4757491,censat,9.053
chr15,4757491,4764748,gsat,7.257
chr15,4764748,4789157,ct,24.409
chr15,4789157,4793009,censat,3.852
chr15,4793009,4795938,ct,2.929
chr15,4795938,4797985,censat,2.047
chr15,4797985,4843967,ct,45.982
chr15,4843967,4846912,censat,2.945
chr15,4846912,4953627,ct,106.715
chr15,4953627,4987006,hsat3,33.379
chr15,4987006,5151806,bsat,164.8
chr15,5151806,5158321,hsat1A,6.515
chr15,5158321,5251163,hsat3,92.842
chr15,5251163,5300649,ct,49.486
chr15,5300649,5316064,bsat,15.415
chr15,5316064,5327443,hsat3,11.379
chr15,5327443,5527068,ct,199.625
chr15,5527068,5971199,hsat1B,444.131
chr15,5971199,5975856,hsat1A,4.657
chr15,5975856,13968808,hsat3,7992.952
chr15,13968808,14132447,mon,163.639
chr15,14132447,14190845,hsat3,58.398
chr15,14190845,14245420,mon,54.575
chr15,14245420,14256873,hsat3,11.453
chr15,14256873,14347478,mon,90.605
chr15,14347478,14359426,hsat3,11.948
chr15,14359426,14431199,mon,71.773
chr15,14431199,14556514,ct,125.315
chr15,14556514,14558671,bsat,2.157
chr15,14558671,14561972,censat,3.301
chr15,14561972,14640870,ct,78.898
chr15,14640870,14642336,censat,1.466
chr15,14642336,14650039,bsat,7.703
chr15,14650039,14674291,ct,24.252
chr15,14674291,14750851,mon,76.56
chr15,14750851,14776838,hsat3,25.987
chr15,14776838,14924602,ct,147.764
chr15,14924602,14926795,bsat,2.193
chr15,14926795,14930017,censat,3.222
chr15,14930017,14938892,ct,8.875
chr15,14938892,14990182,mon,51.29
chr15,14990182,15061026,ct,70.844
chr15,15061026,15062219,censat,1.193
chr15,15062219,15069957,bsat,7.738
chr15,15069957,15098161,ct,28.204
chr15,15098161,15219741,mon,121.58
chr15,15219741,15402797,hsat3,183.056
chr15,15402797,15415981,mon,13.184
chr15,15415981,15692696,hor,276.715
chr15,15692696,15764130,mon,71.434
chr15,15764130,15782418,hsat3,18.288
chr15,15782418,15828677,mon,46.259
chr15,15828677,15874563,hsat3,45.886
chr15,15874563,15996634,mon,122.071
chr15,15996634,16555605,hor,558.971
chr15,16555605,16606151,ct,50.546
chr15,16606151,16608673,censat,2.522
chr15,16608673,16664460,ct,55.787
chr15,16664460,16678794,dhor,14.334
chr15,16678794,17694466,hor,1015.672
chr15,17694466,17742478,mon,48.012
chr15,17742478,17742569,censat,0.091
chr15,17742569,17802623,ct,60.054
chr15,17802623,17803085,censat,0.462
chr15,17803085,17847229,ct,44.144
chr15,17847229,17848649,censat,1.42
chr15,17848649,18004794,ct,156.145
chr15,18004794,18015058,censat,10.264
chr15,18015058,20712066,ct,2697.008
chr15,20712066,20733976,censat,21.91
chr15,20733976,22489670,ct,1755.694
chr15,22489670,22489964,mon,0.294
chr15,22489964,22694129,ct,204.165
chr21,0,2999,censat,2.999
chr21,2999,65354,ct,62.355
chr21,65354,223691,censat,158.337
chr21,223691,224198,ct,0.507
chr21,224198,226367,censat,2.169
chr21,226367,231947,gsat,5.58
chr21,231947,249841,ct,17.894
chr21,249841,253690,censat,3.849
chr21,253690,293068,ct,39.378
chr21,293068,294301,censat,1.233
chr21,294301,314493,ct,20.192
chr21,314493,316675,censat,2.182
chr21,316675,329690,ct,13.015
chr21,329690,334605,censat,4.915
chr21,334605,446242,ct,111.637
chr21,446242,468879,hsat3,22.637
chr21,468879,1117360,bsat,648.481
chr21,1117360,1241002,hsat3,123.642
chr21,1241002,1953075,hsat1A,712.073
chr21,1953075,1979970,bsat,26.895
chr21,1979970,2132547,hsat3,152.577
chr21,2132547,2245842,ct,113.295
chr21,2245842,2247072,censat,1.23
chr21,2247072,2250668,ct,3.596
chr21,2250668,2252036,censat,1.368
chr21,2252036,2305364,ct,53.328
chr21,2305364,2307506,censat,2.142
chr21,2307506,2310429,ct,2.923
chr21,2310429,2314274,censat,3.845
chr21,2314274,2341094,ct,26.82
chr21,2341094,2342787,gsat,1.693
chr21,2342787,2342952,ct,0.165
chr21,2342952,2372001,censat,29.049
chr21,2372001,2388338,ct,16.337
chr21,2388338,2400429,censat,12.091
chr21,2400429,2472263,ct,71.834
chr21,2472263,2534060,censat,61.797
chr21,2534060,2556159,ct,22.099
chr21,2556159,2559178,bsat,3.019
chr21,2559178,2573180,ct,14.002
chr21,2573180,2575055,bsat,1.875
chr21,2575055,2692050,ct,116.995
chr21,2692050,2762174,censat,70.124
chr21,2762174,2785899,ct,23.725
chr21,2785899,2788305,gsat,2.406
chr21,2788305,2793445,ct,5.14
chr21,2793445,2805667,bsat,12.222
chr21,2805667,2976159,ct,170.492
chr21,2976159,2988590,bsat,12.431
chr21,2988590,3108298,ct,119.708
chr21,3108298,5612715,rDNA,2504.417
chr21,5612715,5613027,ct,0.312
chr21,5613027,5618121,censat,5.094
chr21,5618121,5652611,ct,34.49
chr21,5652611,5661880,censat,9.269
chr21,5661880,5667308,gsat,5.428
chr21,5667308,5671424,ct,4.116
chr21,5671424,5673372,censat,1.948
chr21,5673372,5719396,ct,46.024
chr21,5719396,5720632,censat,1.236
chr21,5720632,5720636,ct,0.004
chr21,5720636,5724774,censat,4.138
chr21,5724774,5832026,ct,107.252
chr21,5832026,6023807,hsat3,191.781
chr21,6023807,6334841,bsat,311.034
chr21,6334841,6383977,ct,49.136
chr21,6383977,6494491,hsat3,110.514
chr21,6494491,6533459,ct,38.968
chr21,6533459,6547528,censat,14.069
chr21,6547528,6549713,gsat,2.185
chr21,6549713,6574818,ct,25.105
chr21,6574818,6578668,censat,3.85
chr21,6578668,6588886,ct,10.218
chr21,6588886,6590244,censat,1.358
chr21,6590244,6607521,ct,17.277
chr21,6607521,6609671,censat,2.15
chr21,6609671,6622145,ct,12.474
chr21,6622145,6623401,censat,1.256
chr21,6623401,6623402,ct,0.001
chr21,6623402,6624776,censat,1.374
chr21,6624776,6665005,ct,40.229
chr21,6665005,6853060,hsat3,188.055
chr21,6853060,6859956,hsat1A,6.896
chr21,6859956,6892025,hsat1B,32.069
chr21,6892025,6900950,ct,8.925
chr21,6900950,6903594,censat,2.644
chr21,6903594,7042262,ct,138.668
chr21,7042262,7047487,hsat3,5.225
chr21,7047487,7052233,bsat,4.746
chr21,7052233,7101753,ct,49.52
chr21,7101753,7390654,hsat3,288.901
chr21,7390654,7497101,ct,106.447
chr21,7497101,7502977,censat,5.876
chr21,7502977,7515462,ct,12.485
chr21,7515462,7517598,censat,2.136
chr21,7517598,7534723,ct,17.125
chr21,7534723,7536072,censat,1.349
chr21,7536072,7589024,ct,52.952
chr21,7589024,7591147,censat,2.123
chr21,7591147,7594065,ct,2.918
chr21,7594065,7597823,censat,3.758
chr21,7597823,7622978,ct,25.155
chr21,7622978,7626410,gsat,3.432
chr21,7626410,7632453,censat,6.043
chr21,7632453,7638878,ct,6.425
chr21,7638878,7644359,censat,5.481
chr21,7644359,7684062,ct,39.703
chr21,7684062,7729200,hsat3,45.138
chr21,7729200,7777417,hsat1A,48.217
chr21,7777417,7794709,hsat1B,17.292
chr21,7794709,7986294,ct,191.585
chr21,7986294,7995729,hsat3,9.435
chr21,7995729,8012803,ct,17.074
chr21,8012803,8014655,censat,1.852
chr21,8014655,8046431,ct,31.776
chr21,8046431,8048414,censat,1.983
chr21,8048414,8073769,ct,25.355
chr21,8073769,8074497,censat,0.728
chr21,8074497,8095838,ct,21.341
chr21,8095838,8168711,hsat3,72.873
chr21,8168711,8180694,mon,11.983
chr21,8180694,8253498,hor,72.804
chr21,8253498,8396079,mon,142.581
chr21,8396079,8432134,hsat3,36.055
chr21,8432134,8479566,mon,47.432
chr21,8479566,8491868,hsat3,12.302
chr21,8491868,8551812,mon,59.944
chr21,8551812,8677265,ct,125.453
chr21,8677265,8679423,bsat,2.158
chr21,8679423,8682709,censat,3.286
chr21,8682709,8761635,ct,78.926
chr21,8761635,8763124,censat,1.489
chr21,8763124,8770801,bsat,7.677
chr21,8770801,8799240,ct,28.439
chr21,8799240,8882331,mon,83.091
chr21,8882331,8898215,hor,15.884
chr21,8898215,8904725,mon,6.51
chr21,8904725,9022780,hsat3,118.055
chr21,9022780,9143157,ct,120.377
chr21,9143157,9145062,censat,1.905
chr21,9145062,9158761,ct,13.699
chr21,9158761,9159761,censat,1.0
chr21,9159761,9375566,ct,215.805
chr21,9375566,9453313,censat,77.747
chr21,9453313,9731827,ct,278.514
chr21,9731827,9733749,censat,1.922
chr21,9733749,9739404,gsat,5.655
chr21,9739404,9748432,censat,9.028
chr21,9748432,9850293,ct,101.861
chr21,9850293,9852846,censat,2.553
chr21,9852846,9855710,bsat,2.864
chr21,9855710,9981828,ct,126.118
chr21,9981828,10047043,mon,65.215
chr21,10047043,10053307,hsat3,6.264
chr21,10053307,10124674,mon,71.367
chr21,10124674,10132406,hsat3,7.732
chr21,10132406,10184249,mon,51.843
chr21,10184249,10307662,hsat3,123.413
chr21,10307662,10387680,mon,80.018
chr21,10387680,10475882,hsat3,88.202
chr21,10475882,10499051,ct,23.169
chr21,10499051,10499556,censat,0.505
chr21,10499556,10509850,ct,10.294
chr21,10509850,10510072,censat,0.222
chr21,10510072,10801147,ct,291.075
chr21,10801147,10818159,hsat1B,17.012
chr21,10818159,10962853,hsat1A,144.694
chr21,10962853,11306378,hor,343.525
chr21,11306378,11311467,dhor,5.089
chr21,11311467,11341385,mon,29.918
chr21,11341385,11466496,ct,125.111
chr21,11466496,11476107,censat,9.611
chr21,11476107,12190395,ct,714.288
chr21,12190395,12195875,censat,5.48
chr21,12195875,12252109,ct,56.234
chr21,12252109,12253410,censat,1.301
chr21,12253410,12413680,ct,160.27
chr21,12413680,12415499,censat,1.819
chr21,12415499,12418454,gsat,2.955
chr21,12418454,16341849,ct,3923.395
chr22,0,4578,censat,4.578
chr22,4578,67032,ct,62.454
chr22,67032,226744,censat,159.712
chr22,226744,226952,ct,0.208
chr22,226952,230153,gsat,3.201
chr22,230153,248029,ct,17.876
chr22,248029,251879,censat,3.85
chr22,251879,277758,ct,25.879
chr22,277758,349847,censat,72.089
chr22,349847,459516,ct,109.669
chr22,459516,482112,hsat3,22.596
chr22,482112,2388000,bsat,1905.888
chr22,2388000,2615080,hsat3,227.08
chr22,2615080,3502665,hsat1A,887.585
chr22,3502665,3529630,bsat,26.965
chr22,3529630,3634820,hsat3,105.19
chr22,3634820,3746133,ct,111.313
chr22,3746133,3748807,censat,2.674
chr22,3748807,3752403,ct,3.596
chr22,3752403,3753771,censat,1.368
chr22,3753771,3807093,ct,53.322
chr22,3807093,3809227,censat,2.134
chr22,3809227,3812149,ct,2.922
chr22,3812149,3815993,censat,3.844
chr22,3815993,3841139,ct,25.146
chr22,3841139,3844392,gsat,3.253
chr22,3844392,4128732,censat,284.34
chr22,4128732,4145075,ct,16.343
chr22,4145075,4157833,censat,12.758
chr22,4157833,4229666,ct,71.833
chr22,4229666,4291278,censat,61.612
chr22,4291278,4312412,ct,21.134
chr22,4312412,4314288,bsat,1.876
chr22,4314288,4409321,ct,95.033
chr22,4409321,4448073,censat,38.752
chr22,4448073,4471767,ct,23.694
chr22,4471767,4474420,gsat,2.653
chr22,4474420,4479560,ct,5.14
chr22,4479560,4491801,bsat,12.241
chr22,4491801,4661600,ct,169.799
chr22,4661600,4674054,bsat,12.454
chr22,4674054,4793794,ct,119.74
chr22,4793794,5720650,rDNA,926.856
chr22,5720650,5720694,ct,0.044
chr22,5720694,5728749,censat,8.055
chr22,5728749,5760141,ct,31.392
chr22,5760141,5769058,censat,8.917
chr22,5769058,5775656,gsat,6.598
chr22,5775656,5779774,ct,4.118
chr22,5779774,5781722,censat,1.948
chr22,5781722,5827712,ct,45.99
chr22,5827712,5833506,censat,5.794
chr22,5833506,5940462,ct,106.956
chr22,5940462,6011423,hsat3,70.961
chr22,6011423,6237353,bsat,225.93
chr22,6237353,6340074,ct,102.721
chr22,6340074,6343722,censat,3.648
chr22,6343722,6393557,ct,49.835
chr22,6393557,6394094,censat,0.537
chr22,6394094,6397270,ct,3.176
chr22,6397270,6399581,hsat3,2.311
chr22,6399581,6416706,ct,17.125
chr22,6416706,6419427,censat,2.721
chr22,6419427,6452910,ct,33.483
chr22,6452910,6454596,censat,1.686
chr22,6454596,6470662,ct,16.066
chr22,6470662,6478601,hsat3,7.939
chr22,6478601,6530478,ct,51.877
chr22,6530478,6538927,bsat,8.449
chr22,6538927,6550173,hsat3,11.246
chr22,6550173,6724442,ct,174.269
chr22,6724442,7097707,hsat1B,373.265
chr22,7097707,7100921,hsat1A,3.214
chr22,7100921,7448015,hsat3,347.094
chr22,7448015,7479189,ct,31.174
chr22,7479189,7485243,censat,6.054
chr22,7485243,7496873,ct,11.63
chr22,7496873,7499006,censat,2.133
chr22,7499006,7516137,ct,17.131
chr22,7516137,7517510,censat,1.373
chr22,7517510,7527688,ct,10.178
chr22,7527688,7531541,censat,3.853
chr22,7531541,7556525,ct,24.984
chr22,7556525,7559561,gsat,3.036
